Title:               Equifax Subprime Credit Population for Pitt County, NC
Series ID:           EQFXSUBPRIME037147
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.509506131173360
1999-04-01  40.392269974040960
1999-07-01  39.459621735214654
1999-10-01  39.232513945932690
2000-01-01  39.090696039371930
2000-04-01  38.028737953719200
2000-07-01  38.799115495832620
2000-10-01  37.036009543361260
2001-01-01  37.516347301984420
2001-04-01  36.492918171913530
2001-07-01  36.796714579055440
2001-10-01  36.124600260570890
2002-01-01  36.448541817305376
2002-04-01  36.502463054187190
2002-07-01  36.860843410472036
2002-10-01  36.653855690552940
2003-01-01  37.041792386210440
2003-04-01  37.066389502403540
2003-07-01  37.290230258878620
2003-10-01  36.880981437471900
2004-01-01  38.402335456475580
2004-04-01  37.229520865533225
2004-07-01  37.365068722762320
2004-10-01  36.089807026224640
2005-01-01  35.836071672143340
2005-04-01  36.511129859173210
2005-07-01  37.116987074338950
2005-10-01  37.460172963131540
2006-01-01  37.410348360655740
2006-04-01  37.110232762406675
2006-07-01  36.916771752837330
2006-10-01  37.442802980781806
2007-01-01  37.289792725850610
2007-04-01  36.684539767649690
2007-07-01  36.907190209077000
2007-10-01  38.091755319148940
2008-01-01  40.222428174235404
2008-04-01  40.065478355765734
2008-07-01  40.118187787261980
2008-10-01  40.413043478260870
2009-01-01  40.382062251069480
2009-04-01  40.251156642432260
2009-07-01  39.631001670661725
2009-10-01  39.916550764951320
2010-01-01  40.037648421662325
2010-04-01  39.855548260013130
2010-07-01  39.675056212373974
2010-10-01  39.738467126770790
2011-01-01  39.859277527926885
2011-04-01  39.707796904383045
2011-07-01  40.062089379828170
2011-10-01  40.564132159861494
2012-01-01  39.878136200716845
2012-04-01  39.696188019489824
2012-07-01  39.400413017161576
2012-10-01  39.798952286563780
2013-01-01  38.802860912436635
2013-04-01  38.406297472724760
2013-07-01  38.388095081319550
2013-10-01  38.754188842893750
2014-01-01  37.933239544698810
2014-04-01  37.915854348783090
2014-07-01  37.535780958307406
2014-10-01  37.808049535603715
2015-01-01  37.403409787808165
2015-04-01  37.371165272220200
2015-07-01  37.123039806996380
2015-10-01  37.895818225767464
2016-01-01  37.865738195589756
2016-04-01  37.437788018433180
2016-07-01  37.102182481322430
2016-10-01  36.937932639171660
2017-01-01  36.854337342397300
2017-04-01  36.336144227973250
2017-07-01  36.806401113237090
2017-10-01  37.361246908609880
2018-01-01  36.921144292811050
2018-04-01  36.664179532801470
2018-07-01  37.202195687850150
