Title:               Equifax Subprime Credit Population for Cleveland County, NC
Series ID:           EQFXSUBPRIME037045
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  40.406449766243680
1999-04-01  40.481836289481170
1999-07-01  37.047028144950990
1999-10-01  37.741644083107495
2000-01-01  37.329894156363956
2000-04-01  37.693071989883480
2000-07-01  39.360302581812200
2000-10-01  37.921525370312010
2001-01-01  38.387484957882066
2001-04-01  37.806319438972500
2001-07-01  37.865079365079360
2001-10-01  38.380476982806435
2002-01-01  38.912166969720920
2002-04-01  39.117223732608345
2002-07-01  39.661426844014510
2002-10-01  40.279146141215110
2003-01-01  40.001647853670600
2003-04-01  40.253185503888794
2003-07-01  40.809066843150234
2003-10-01  41.198968986447160
2004-01-01  41.174011204950250
2004-04-01  40.417660116747510
2004-07-01  40.376726663876100
2004-10-01  40.767172167707410
2005-01-01  40.351868291501894
2005-04-01  39.823874755381600
2005-07-01  39.925844779641025
2005-10-01  40.183256976259890
2006-01-01  39.649668494720470
2006-04-01  39.726253298153030
2006-07-01  40.645431684828170
2006-10-01  39.983007646559050
2007-01-01  39.727319499228265
2007-04-01  38.941383058784176
2007-07-01  39.550505888207000
2007-10-01  41.136285022483570
2008-01-01  43.132887899034890
2008-04-01  43.175803402646500
2008-07-01  42.944554269038875
2008-10-01  43.040136635354400
2009-01-01  42.989848687990810
2009-04-01  42.556478084572310
2009-07-01  42.395913646877410
2009-10-01  42.679949213790410
2010-01-01  42.787429240679295
2010-04-01  41.871631553160210
2010-07-01  42.215743440233240
2010-10-01  42.070633768746980
2011-01-01  41.656210790464240
2011-04-01  41.553696759926930
2011-07-01  41.634504052489380
2011-10-01  41.613649508386350
2012-01-01  41.629658235180536
2012-04-01  41.546918699971070
2012-07-01  40.994688556253020
2012-10-01  41.248434640208070
2013-01-01  38.694367332318436
2013-04-01  37.257483978579580
2013-07-01  37.166611787948630
2013-10-01  37.641383898868930
2014-01-01  37.555812799735406
2014-04-01  37.537412703691390
2014-07-01  36.843826655764510
2014-10-01  37.394343302990900
2015-01-01  36.739837398373980
2015-04-01  36.383566092887300
2015-07-01  36.499553099861860
2015-10-01  36.372453928225020
2016-01-01  35.458070770722250
2016-04-01  34.559652229914670
2016-07-01  34.542207035800270
2016-10-01  34.606827771384740
2017-01-01  34.134870666767810
2017-04-01  33.709785273794490
2017-07-01  33.837485172004750
2017-10-01  34.179862563489690
2018-01-01  33.465836645916150
2018-04-01  33.032719683983010
2018-07-01  33.225593182986850
