Title:               Equifax Subprime Credit Population for Northampton County, NC
Series ID:           EQFXSUBPRIME037131
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  44.674085850556440
1999-04-01  44.945355191256830
1999-07-01  43.580218249361500
1999-10-01  44.349036899512650
2000-01-01  44.727530077848550
2000-04-01  44.201060640996080
2000-07-01  44.483321670165616
2000-10-01  40.615711252653930
2001-01-01  41.385171021882310
2001-04-01  40.139687756778960
2001-07-01  37.355635205097570
2001-10-01  37.253731343283580
2002-01-01  38.203537790029860
2002-04-01  39.700180925303700
2002-07-01  40.465242088179600
2002-10-01  40.775063184498740
2003-01-01  40.761026232343620
2003-04-01  40.794117647058826
2003-07-01  40.677966101694920
2003-10-01  40.648681418611700
2004-01-01  42.031250000000000
2004-04-01  41.045958795562600
2004-07-01  39.662849872773535
2004-10-01  39.175931981687380
2005-01-01  38.566213076667770
2005-04-01  39.862667148536320
2005-07-01  38.908575478384120
2005-10-01  39.180035650623886
2006-01-01  37.989228007181330
2006-04-01  38.250750750750754
2006-07-01  38.740098076197660
2006-10-01  39.497447978013350
2007-01-01  38.636363636363630
2007-04-01  38.056835637480800
2007-07-01  38.428459734167320
2007-10-01  41.563434429730880
2008-01-01  43.750000000000000
2008-04-01  42.208703790360320
2008-07-01  42.298743601675200
2008-10-01  41.761904761904760
2009-01-01  41.814690350456075
2009-04-01  41.447694595934560
2009-07-01  40.625000000000000
2009-10-01  40.348182283666155
2010-01-01  41.017653167185880
2010-04-01  41.022964509394570
2010-07-01  40.424430641821940
2010-10-01  41.778006166495370
2011-01-01  41.438178996378690
2011-04-01  40.818467995802730
2011-07-01  41.024287222808870
2011-10-01  41.412520064205450
2012-01-01  41.755888650963600
2012-04-01  41.971982758620690
2012-07-01  41.383095499451150
2012-10-01  42.582417582417584
2013-01-01  41.733547351524880
2013-04-01  40.388768898488120
2013-07-01  41.898031297324586
2013-10-01  41.696474195196730
2014-01-01  40.981912144702840
2014-04-01  40.512820512820510
2014-07-01  40.548938373899530
2014-10-01  40.651629072681710
2015-01-01  40.256536753823380
2015-04-01  39.842983316977424
2015-07-01  39.584364176150420
2015-10-01  40.535183349851340
2016-01-01  41.041041041041040
2016-04-01  40.610916374561846
2016-07-01  40.343137254901960
2016-10-01  39.950859950859950
2017-01-01  39.396935244686110
2017-04-01  39.041095890410960
2017-07-01  39.644970414201180
2017-10-01  40.329835082458770
2018-01-01  40.483234714003950
2018-04-01  39.433117851815020
2018-07-01  38.864197530864196
