Title:               Number of Private Establishments for All Industries in Graham County, NC
Series ID:           ENU3707520510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   120
1990-04-01   120
1990-07-01   121
1990-10-01   122
1991-01-01   124
1991-04-01   126
1991-07-01   132
1991-10-01   133
1992-01-01   136
1992-04-01   134
1992-07-01   137
1992-10-01   137
1993-01-01   135
1993-04-01   135
1993-07-01   132
1993-10-01   133
1994-01-01   135
1994-04-01   135
1994-07-01   133
1994-10-01   133
1995-01-01   134
1995-04-01   139
1995-07-01   144
1995-10-01   143
1996-01-01   146
1996-04-01   144
1996-07-01   145
1996-10-01   143
1997-01-01   140
1997-04-01   145
1997-07-01   147
1997-10-01   149
1998-01-01   150
1998-04-01   152
1998-07-01   155
1998-10-01   158
1999-01-01   156
1999-04-01   160
1999-07-01   172
1999-10-01   178
2000-01-01   177
2000-04-01   181
2000-07-01   182
2000-10-01   182
2001-01-01   162
2001-04-01   165
2001-07-01   166
2001-10-01   169
2002-01-01   166
2002-04-01   168
2002-07-01   168
2002-10-01   167
2003-01-01   162
2003-04-01   167
2003-07-01   168
2003-10-01   168
2004-01-01   169
2004-04-01   169
2004-07-01   172
2004-10-01   176
2005-01-01   173
2005-04-01   176
2005-07-01   177
2005-10-01   175
2006-01-01   179
2006-04-01   181
2006-07-01   184
2006-10-01   185
2007-01-01   201
2007-04-01   200
2007-07-01   201
2007-10-01   203
2008-01-01   193
2008-04-01   194
2008-07-01   226
2008-10-01   225
2009-01-01   189
2009-04-01   182
2009-07-01   177
2009-10-01   176
2010-01-01   173
2010-04-01   173
2010-07-01   179
2010-10-01   177
2011-01-01   169
2011-04-01   167
2011-07-01   173
2011-10-01   173
2012-01-01   185
2012-04-01   188
2012-07-01   183
2012-10-01   185
2013-01-01   178
2013-04-01   182
2013-07-01   185
2013-10-01   186
2014-01-01   178
2014-04-01   179
2014-07-01   174
2014-10-01   177
2015-01-01   176
2015-04-01   178
2015-07-01   178
2015-10-01   178
2016-01-01   178
2016-04-01   179
2016-07-01   176
2016-10-01   170
2017-01-01   167
2017-04-01   167
2017-07-01   166
2017-10-01   167
2018-01-01   164
