Title:               Equifax Subprime Credit Population for Davidson County, NC
Series ID:           EQFXSUBPRIME037057
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.563090069602370
1999-04-01  40.114574098069970
1999-07-01  39.610524135073550
1999-10-01  39.960918417195900
2000-01-01  39.947165500499786
2000-04-01  38.685139907633800
2000-07-01  39.045913799718630
2000-10-01  37.215003677371904
2001-01-01  38.166837072231914
2001-04-01  37.499255376183950
2001-07-01  37.645331767469170
2001-10-01  36.518393283973650
2002-01-01  37.245202050303970
2002-04-01  37.338207094918500
2002-07-01  37.299905838041430
2002-10-01  37.523629489603024
2003-01-01  38.028592023065830
2003-04-01  37.837019085125720
2003-07-01  38.473623783914434
2003-10-01  38.515522778636850
2004-01-01  39.075308132334726
2004-04-01  37.656903765690370
2004-07-01  37.425064230659430
2004-10-01  38.215613382899626
2005-01-01  37.834598481821814
2005-04-01  37.778157190825794
2005-07-01  38.514021393466320
2005-10-01  38.296515336000460
2006-01-01  38.045629146781515
2006-04-01  37.665505226480840
2006-07-01  37.790999942233260
2006-10-01  37.656021095810140
2007-01-01  37.740227286249780
2007-04-01  36.784963810413260
2007-07-01  37.176303653777936
2007-10-01  37.243419463897610
2008-01-01  38.198582449978050
2008-04-01  38.151992823273100
2008-07-01  38.148241841639260
2008-10-01  38.297737899658790
2009-01-01  38.349670062143640
2009-04-01  38.121088261591520
2009-07-01  37.740199846272100
2009-10-01  37.661243274777990
2010-01-01  37.500000000000000
2010-04-01  36.979809128091930
2010-07-01  36.995226422397110
2010-10-01  36.961798901239300
2011-01-01  36.210298516962640
2011-04-01  36.155956862995340
2011-07-01  36.301718650541060
2011-10-01  36.801114417780030
2012-01-01  36.446770938446015
2012-04-01  35.923845193508114
2012-07-01  36.012921662421570
2012-10-01  36.379950495049506
2013-01-01  35.496896281564520
2013-04-01  34.894848771266540
2013-07-01  34.637681159420290
2013-10-01  34.934667778704470
2014-01-01  34.019988895058300
2014-04-01  33.584127514908320
2014-07-01  33.724729991692050
2014-10-01  34.055440357961366
2015-01-01  33.492246150473996
2015-04-01  33.130533977945570
2015-07-01  33.469365545761235
2015-10-01  33.941446362246010
2016-01-01  33.417333187246626
2016-04-01  32.361195179662140
2016-07-01  32.239527389903330
2016-10-01  32.195353247984826
2017-01-01  31.533008887008040
2017-04-01  31.548188290298583
2017-07-01  31.479527226677924
2017-10-01  32.209915611814345
2018-01-01  31.757331066723330
2018-04-01  31.666754938827392
2018-07-01  31.626490205346357
