Title:               Number of Private Establishments for All Industries in Hoke County, NC
Series ID:           ENU3709320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   228
1990-04-01   238
1990-07-01   237
1990-10-01   237
1991-01-01   242
1991-04-01   244
1991-07-01   246
1991-10-01   245
1992-01-01   248
1992-04-01   243
1992-07-01   246
1992-10-01   250
1993-01-01   254
1993-04-01   255
1993-07-01   258
1993-10-01   262
1994-01-01   268
1994-04-01   269
1994-07-01   273
1994-10-01   277
1995-01-01   282
1995-04-01   290
1995-07-01   289
1995-10-01   290
1996-01-01   305
1996-04-01   309
1996-07-01   308
1996-10-01   311
1997-01-01   307
1997-04-01   310
1997-07-01   308
1997-10-01   304
1998-01-01   303
1998-04-01   307
1998-07-01   300
1998-10-01   300
1999-01-01   296
1999-04-01   307
1999-07-01   319
1999-10-01   326
2000-01-01   328
2000-04-01   326
2000-07-01   327
2000-10-01   323
2001-01-01   310
2001-04-01   310
2001-07-01   309
2001-10-01   313
2002-01-01   318
2002-04-01   320
2002-07-01   323
2002-10-01   321
2003-01-01   309
2003-04-01   310
2003-07-01   311
2003-10-01   310
2004-01-01   318
2004-04-01   320
2004-07-01   318
2004-10-01   325
2005-01-01   335
2005-04-01   332
2005-07-01   339
2005-10-01   347
2006-01-01   350
2006-04-01   354
2006-07-01   363
2006-10-01   366
2007-01-01   386
2007-04-01   393
2007-07-01   403
2007-10-01   416
2008-01-01   424
2008-04-01   423
2008-07-01   420
2008-10-01   427
2009-01-01   425
2009-04-01   424
2009-07-01   417
2009-10-01   419
2010-01-01   421
2010-04-01   420
2010-07-01   412
2010-10-01   421
2011-01-01   410
2011-04-01   410
2011-07-01   408
2011-10-01   405
2012-01-01   409
2012-04-01   405
2012-07-01   403
2012-10-01   404
2013-01-01   403
2013-04-01   419
2013-07-01   421
2013-10-01   426
2014-01-01   431
2014-04-01   435
2014-07-01   426
2014-10-01   430
2015-01-01   451
2015-04-01   462
2015-07-01   463
2015-10-01   471
2016-01-01   455
2016-04-01   457
2016-07-01   449
2016-10-01   458
2017-01-01   476
2017-04-01   481
2017-07-01   486
2017-10-01   480
2018-01-01   489
