Title:               Equifax Subprime Credit Population for Vance County, NC
Series ID:           EQFXSUBPRIME037181
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.938447404685350
1999-04-01  42.611951942580745
1999-07-01  42.568866111467010
1999-10-01  42.445820433436530
2000-01-01  44.395782643957830
2000-04-01  42.512690355329950
2000-07-01  43.238705738705740
2000-10-01  40.430351075877690
2001-01-01  41.267806267806264
2001-04-01  40.357634112792300
2001-07-01  40.250587314017224
2001-10-01  41.244417064531035
2002-01-01  41.732041224427014
2002-04-01  41.866913123844730
2002-07-01  41.753783741613354
2002-10-01  42.008196721311480
2003-01-01  43.213030980517410
2003-04-01  42.948507707445070
2003-07-01  43.856209150326800
2003-10-01  42.975601977356080
2004-01-01  45.531420991543690
2004-04-01  43.870864631612590
2004-07-01  44.577339582996610
2004-10-01  45.203303684879290
2005-01-01  45.083158404650410
2005-04-01  44.902524768296580
2005-07-01  45.512820512820510
2005-10-01  45.937342938515660
2006-01-01  46.051537822111385
2006-04-01  45.852459016393446
2006-07-01  46.032776245335064
2006-10-01  46.599249714565325
2007-01-01  45.311256169399776
2007-04-01  44.794562866852026
2007-07-01  45.223325062034740
2007-10-01  45.884048686739270
2008-01-01  50.595667870036095
2008-04-01  50.600000000000000
2008-07-01  50.009013881377320
2008-10-01  49.792231255645890
2009-01-01  49.507892293407615
2009-04-01  49.237918215613384
2009-07-01  48.930630463083500
2009-10-01  49.430523917995444
2010-01-01  48.720397249809020
2010-04-01  48.367029548989116
2010-07-01  48.578106739384495
2010-10-01  48.643902439024390
2011-01-01  48.138091543832430
2011-04-01  47.720306513409960
2011-07-01  47.619047619047610
2011-10-01  48.658109684947490
2012-01-01  48.132295719844360
2012-04-01  47.177183043563200
2012-07-01  46.773555027711800
2012-10-01  47.342519685039370
2013-01-01  45.073845578612826
2013-04-01  43.471997118674590
2013-07-01  43.008581524482590
2013-10-01  42.955615332885000
2014-01-01  41.752749083638780
2014-04-01  41.170534813319880
2014-07-01  41.233873635461460
2014-10-01  41.251015434606010
2015-01-01  40.937295885042460
2015-04-01  40.532687651331720
2015-07-01  40.771785544836310
2015-10-01  41.673306772908360
2016-01-01  40.911278678004170
2016-04-01  40.546218487394960
2016-07-01  40.123750594954785
2016-10-01  40.809118638625780
2017-01-01  40.999026921829380
2017-04-01  41.071135206177104
2017-07-01  40.481257161564905
2017-10-01  41.721964167219646
2018-01-01  41.214968954522570
2018-04-01  40.959783710713076
2018-07-01  41.338842975206610
