Title:               Number of Private Establishments for All Industries in Buncombe County, NC
Series ID:           ENU3702120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  4249
1990-04-01  4361
1990-07-01  4374
1990-10-01  4452
1991-01-01  4499
1991-04-01  4522
1991-07-01  4543
1991-10-01  4621
1992-01-01  4606
1992-04-01  4615
1992-07-01  4664
1992-10-01  4744
1993-01-01  4791
1993-04-01  4832
1993-07-01  4839
1993-10-01  4931
1994-01-01  4926
1994-04-01  5045
1994-07-01  5110
1994-10-01  5216
1995-01-01  5191
1995-04-01  5234
1995-07-01  5278
1995-10-01  5348
1996-01-01  5370
1996-04-01  5391
1996-07-01  5432
1996-10-01  5506
1997-01-01  5522
1997-04-01  5598
1997-07-01  5705
1997-10-01  5742
1998-01-01  5761
1998-04-01  5793
1998-07-01  5839
1998-10-01  5860
1999-01-01  5903
1999-04-01  6019
1999-07-01  6139
1999-10-01  6261
2000-01-01  6277
2000-04-01  6303
2000-07-01  6318
2000-10-01  6319
2001-01-01  6307
2001-04-01  6347
2001-07-01  6413
2001-10-01  6471
2002-01-01  6593
2002-04-01  6627
2002-07-01  6658
2002-10-01  6682
2003-01-01  6433
2003-04-01  6432
2003-07-01  6507
2003-10-01  6553
2004-01-01  6614
2004-04-01  6679
2004-07-01  6697
2004-10-01  6755
2005-01-01  6800
2005-04-01  6877
2005-07-01  6947
2005-10-01  7009
2006-01-01  7080
2006-04-01  7130
2006-07-01  7258
2006-10-01  7322
2007-01-01  7614
2007-04-01  7700
2007-07-01  7787
2007-10-01  7917
2008-01-01  7939
2008-04-01  7909
2008-07-01  7978
2008-10-01  7993
2009-01-01  7818
2009-04-01  7679
2009-07-01  7676
2009-10-01  7656
2010-01-01  7580
2010-04-01  7601
2010-07-01  7618
2010-10-01  7686
2011-01-01  7564
2011-04-01  7605
2011-07-01  7695
2011-10-01  7807
2012-01-01  7756
2012-04-01  7887
2012-07-01  7864
2012-10-01  7924
2013-01-01  7761
2013-04-01  7778
2013-07-01  7804
2013-10-01  7901
2014-01-01  8024
2014-04-01  8051
2014-07-01  8065
2014-10-01  8117
2015-01-01  8246
2015-04-01  8347
2015-07-01  8421
2015-10-01  8580
2016-01-01  8692
2016-04-01  8836
2016-07-01  8835
2016-10-01  8920
2017-01-01  8940
2017-04-01  9000
2017-07-01  9059
2017-10-01  9107
2018-01-01  9195
