Title:               Equifax Subprime Credit Population for Yadkin County, NC
Series ID:           EQFXSUBPRIME037197
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.553940749021800
1999-04-01  31.568516421291054
1999-07-01  31.015579919215234
1999-10-01  30.205882352941178
2000-01-01  30.952380952380953
2000-04-01  30.614766759345073
2000-07-01  31.556372549019606
2000-10-01  30.633497251952562
2001-01-01  31.653165316531652
2001-04-01  31.665203394790750
2001-07-01  31.650485436893206
2001-10-01  31.573444851019340
2002-01-01  31.880108991825610
2002-04-01  31.565934065934066
2002-07-01  31.737686773657998
2002-10-01  32.242729306487696
2003-01-01  32.345469940728194
2003-04-01  32.562843108928060
2003-07-01  33.856635071090050
2003-10-01  33.382396231969390
2004-01-01  34.100418410041840
2004-04-01  33.924418604651166
2004-07-01  33.612506979341150
2004-10-01  33.214285714285715
2005-01-01  32.407152682255850
2005-04-01  32.083792723263510
2005-07-01  32.039106145251395
2005-10-01  32.649098474341194
2006-01-01  32.009925558312660
2006-04-01  31.238146843673803
2006-07-01  32.315731573157315
2006-10-01  31.671800616073930
2007-01-01  31.885682263939480
2007-04-01  32.249322493224930
2007-07-01  31.836846427593755
2007-10-01  32.210467706013360
2008-01-01  33.176193282262815
2008-04-01  33.182640144665460
2008-07-01  32.804549536067040
2008-10-01  33.383458646616546
2009-01-01  33.605318827440314
2009-04-01  32.939035486806190
2009-07-01  33.021994576679724
2009-10-01  32.581530021334956
2010-01-01  32.348414896891356
2010-04-01  32.102532804394265
2010-07-01  32.214765100671140
2010-10-01  32.019405700424500
2011-01-01  31.398900427611487
2011-04-01  31.407722712070540
2011-07-01  31.080669710806696
2011-10-01  30.804668304668304
2012-01-01  30.444305381727162
2012-04-01  30.037313432835823
2012-07-01  30.043722673329170
2012-10-01  29.903636928815670
2013-01-01  29.261622607110300
2013-04-01  29.051620648259302
2013-07-01  29.318631608707946
2013-10-01  28.659909909909910
2014-01-01  28.680851063829788
2014-04-01  28.910220214568040
2014-07-01  28.281963470319630
2014-10-01  28.820714888826345
2015-01-01  27.768456375838923
2015-04-01  27.823691460055095
2015-07-01  28.100082485565025
2015-10-01  28.431372549019606
2016-01-01  27.808370044052865
2016-04-01  28.039162360620068
2016-07-01  27.262901918400434
2016-10-01  27.577184720041863
2017-01-01  26.673723207197668
2017-04-01  27.181119066560594
2017-07-01  27.706666666666667
2017-10-01  27.659574468085108
2018-01-01  25.678552421500800
2018-04-01  24.832214765100673
2018-07-01  25.474683544303800
