Title:               Average Weekly Wages for Employees in Local Government Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   351
1990-04-01   360
1990-07-01   386
1990-10-01   383
1991-01-01   369
1991-04-01   382
1991-07-01   345
1991-10-01   382
1992-01-01   365
1992-04-01   383
1992-07-01   394
1992-10-01   392
1993-01-01   375
1993-04-01   399
1993-07-01   341
1993-10-01   412
1994-01-01   392
1994-04-01   390
1994-07-01   417
1994-10-01   412
1995-01-01   413
1995-04-01   430
1995-07-01   430
1995-10-01   448
1996-01-01   417
1996-04-01   437
1996-07-01   439
1996-10-01   433
1997-01-01   420
1997-04-01   416
1997-07-01   467
1997-10-01   443
1998-01-01   442
1998-04-01   464
1998-07-01   502
1998-10-01   514
1999-01-01   459
1999-04-01   475
1999-07-01   511
1999-10-01   517
2000-01-01   486
2000-04-01   477
2000-07-01   544
2000-10-01   526
2001-01-01   618
2001-04-01   562
2001-07-01   577
2001-10-01   526
2002-01-01   520
2002-04-01   532
2002-07-01   544
2002-10-01   551
2003-01-01   545
2003-04-01   563
2003-07-01   572
2003-10-01   594
2004-01-01   571
2004-04-01   569
2004-07-01   621
2004-10-01   612
2005-01-01   563
2005-04-01   604
2005-07-01   659
2005-10-01   637
2006-01-01   591
2006-04-01   631
2006-07-01   647
2006-10-01   650
2007-01-01   618
2007-04-01   667
2007-07-01   679
2007-10-01   696
2008-01-01   643
2008-04-01   674
2008-07-01   705
2008-10-01   723
2009-01-01   658
2009-04-01   682
2009-07-01   693
2009-10-01   726
2010-01-01   592
2010-04-01   605
2010-07-01   668
2010-10-01   644
2011-01-01   592
2011-04-01   606
2011-07-01   664
2011-10-01   649
2012-01-01   597
2012-04-01   623
2012-07-01   645
2012-10-01   649
2013-01-01   601
2013-04-01   622
2013-07-01   647
2013-10-01   659
2014-01-01   608
2014-04-01   629
2014-07-01   682
2014-10-01   687
2015-01-01   635
2015-04-01   656
2015-07-01   682
2015-10-01   723
2016-01-01   635
2016-04-01   664
2016-07-01   708
2016-10-01   724
2017-01-01   672
2017-04-01   670
2017-07-01   716
2017-10-01   729
2018-01-01   695
