Title:               Equifax Subprime Credit Population for Granville County, NC
Series ID:           EQFXSUBPRIME037077
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.138514236780130
1999-04-01  43.189581554227160
1999-07-01  42.679261485616145
1999-10-01  43.735967669510550
2000-01-01  43.799591929267740
2000-04-01  41.789052069425900
2000-07-01  42.691368078175900
2000-10-01  40.723896153117300
2001-01-01  41.124260355029584
2001-04-01  40.654532726636330
2001-07-01  40.625552217706310
2001-10-01  40.613561094648770
2002-01-01  41.538461538461540
2002-04-01  41.181581233709820
2002-07-01  41.132587317734824
2002-10-01  41.871011084984886
2003-01-01  42.109690444145360
2003-04-01  42.379497623896810
2003-07-01  42.392216071129006
2003-10-01  42.263776270064530
2004-01-01  42.890520694259010
2004-04-01  41.857816821213600
2004-07-01  41.556926154359060
2004-10-01  42.271038604425780
2005-01-01  42.792937399678970
2005-04-01  41.807459356072680
2005-07-01  42.492734904746530
2005-10-01  42.974806201550386
2006-01-01  42.147609469286710
2006-04-01  41.978488107862450
2006-07-01  43.076193487195700
2006-10-01  42.917685411572940
2007-01-01  43.162461835127750
2007-04-01  41.566170712607670
2007-07-01  41.295483061480550
2007-10-01  41.481846558238870
2008-01-01  44.347217360868044
2008-04-01  43.608356940509914
2008-07-01  43.284645529034556
2008-10-01  43.503727369542070
2009-01-01  42.921307941070786
2009-04-01  42.494521548575605
2009-07-01  42.090958506975900
2009-10-01  41.535615171137835
2010-01-01  41.876986352589270
2010-04-01  39.920574886535555
2010-07-01  39.558195656209390
2010-10-01  40.144497962208230
2011-01-01  39.665224750799325
2011-04-01  39.166977960403436
2011-07-01  39.282341831916900
2011-10-01  40.116826832485394
2012-01-01  39.468726450640540
2012-04-01  39.048693363414180
2012-07-01  38.975710788928644
2012-10-01  39.372887720615840
2013-01-01  36.980859516070790
2013-04-01  36.276083467094710
2013-07-01  36.638935108153080
2013-10-01  36.735028712059060
2014-01-01  35.906260242543430
2014-04-01  35.579119086460030
2014-07-01  35.640362225097020
2014-10-01  36.283327979441054
2015-01-01  35.783521809369950
2015-04-01  34.805764411027570
2015-07-01  34.665209926642740
2015-10-01  35.484372570362310
2016-01-01  34.349245840460270
2016-04-01  33.845914880397636
2016-07-01  33.368169602866530
2016-10-01  33.515267738604514
2017-01-01  33.458533653846150
2017-04-01  33.184523809523810
2017-07-01  33.160698431488605
2017-10-01  33.505458837415160
2018-01-01  32.046559599233830
2018-04-01  32.354250111259460
2018-07-01  32.300756253635840
