Title:               Total Quarterly Wages in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           ENUC167430010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE              VALUE
1990-01-01   3227721924
1990-04-01   3260070021
1990-07-01   3234843314
1990-10-01   3526811032
1991-01-01   3251148482
1991-04-01   3492391433
1991-07-01   3324934128
1991-10-01   3611657045
1992-01-01   3435649386
1992-04-01   3469387308
1992-07-01   3511037412
1992-10-01   4054338333
1993-01-01   3529176392
1993-04-01   3703436845
1993-07-01   3804145092
1993-10-01   4314531700
1994-01-01   3943716144
1994-04-01   3991550585
1994-07-01   4182638233
1994-10-01   4530714374
1995-01-01   4493802481
1995-04-01   4401294768
1995-07-01   4432912648
1995-10-01   4905516640
1996-01-01   4889001076
1996-04-01   4729644489
1996-07-01   4776799209
1996-10-01   5284997024
1997-01-01   5357818401
1997-04-01   5095569236
1997-07-01   5239457774
1997-10-01   5923305473
1998-01-01   5858629819
1998-04-01   5640254142
1998-07-01   5668695218
1998-10-01   6505851351
1999-01-01   6295107949
1999-04-01   6138949370
1999-07-01   6257843452
1999-10-01   7060372545
2000-01-01   7181180712
2000-04-01   6712377202
2000-07-01   6686186231
2000-10-01   7374925654
2001-01-01   7611863996
2001-04-01   6999513704
2001-07-01   6763927152
2001-10-01   7273942382
2002-01-01   7751687470
2002-04-01   7116806305
2002-07-01   6952243722
2002-10-01   7460396896
2003-01-01   7867463931
2003-04-01   7096025220
2003-07-01   7123052840
2003-10-01   7816672300
2004-01-01   8229436134
2004-04-01   7413503117
2004-07-01   7445841746
2004-10-01   8594104147
2005-01-01   9115264125
2005-04-01   7972906984
2005-07-01   8166646635
2005-10-01   8745243958
2006-01-01  10154165766
2006-04-01   8623358285
2006-07-01   8655412856
2006-10-01   9515798799
2007-01-01  11190897972
2007-04-01   9184892134
2007-07-01   9091648180
2007-10-01  10121405454
2008-01-01  11092396140
2008-04-01   9421167521
2008-07-01   9425326259
2008-10-01  10035339374
2009-01-01   9744141019
2009-04-01   8779061224
2009-07-01   8733893977
2009-10-01   9675310238
2010-01-01  10036217598
2010-04-01   9082610865
2010-07-01   8922384162
2010-10-01  10190134845
2011-01-01  10912145956
2011-04-01   9402276402
2011-07-01   9816629531
2011-10-01  10121948659
2012-01-01  11677776913
2012-04-01   9744182382
2012-07-01  10135418243
2012-10-01  10959252206
2013-01-01  13861935846
2013-04-01  11722923068
2013-07-01  11919823598
2013-10-01  12884937153
2014-01-01  14925787038
2014-04-01  12394122463
2014-07-01  12696297815
2014-10-01  13802095115
2015-01-01  15860372339
2015-04-01  13369732722
2015-07-01  13692246003
2015-10-01  15258060560
2016-01-01  16255526008
2016-04-01  14304961458
2016-07-01  15106254073
2016-10-01  15567408826
2017-01-01  17937522792
2017-04-01  15212925843
2017-07-01  15067863680
2017-10-01  16491411871
2018-01-01  18874638853
