Title:               Number of Private Establishments for All Industries in Richmond County, NC
Series ID:           ENU3715320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   787
1990-04-01   798
1990-07-01   788
1990-10-01   794
1991-01-01   814
1991-04-01   818
1991-07-01   822
1991-10-01   834
1992-01-01   829
1992-04-01   824
1992-07-01   827
1992-10-01   826
1993-01-01   823
1993-04-01   822
1993-07-01   818
1993-10-01   822
1994-01-01   829
1994-04-01   829
1994-07-01   834
1994-10-01   842
1995-01-01   836
1995-04-01   847
1995-07-01   848
1995-10-01   856
1996-01-01   858
1996-04-01   874
1996-07-01   882
1996-10-01   876
1997-01-01   863
1997-04-01   870
1997-07-01   880
1997-10-01   887
1998-01-01   886
1998-04-01   887
1998-07-01   892
1998-10-01   883
1999-01-01   884
1999-04-01   890
1999-07-01   903
1999-10-01   914
2000-01-01   916
2000-04-01   921
2000-07-01   892
2000-10-01   893
2001-01-01   895
2001-04-01   903
2001-07-01   901
2001-10-01   980
2002-01-01   913
2002-04-01   922
2002-07-01   913
2002-10-01   913
2003-01-01   886
2003-04-01   881
2003-07-01   895
2003-10-01   897
2004-01-01   896
2004-04-01   887
2004-07-01   895
2004-10-01   890
2005-01-01   881
2005-04-01   877
2005-07-01   885
2005-10-01   892
2006-01-01   875
2006-04-01   877
2006-07-01   880
2006-10-01   868
2007-01-01   884
2007-04-01   884
2007-07-01   879
2007-10-01   889
2008-01-01   879
2008-04-01   877
2008-07-01   881
2008-10-01   880
2009-01-01   878
2009-04-01   883
2009-07-01   873
2009-10-01   855
2010-01-01   856
2010-04-01   856
2010-07-01   859
2010-10-01   855
2011-01-01   836
2011-04-01   839
2011-07-01   846
2011-10-01   837
2012-01-01   846
2012-04-01   840
2012-07-01   840
2012-10-01   839
2013-01-01   828
2013-04-01   828
2013-07-01   820
2013-10-01   824
2014-01-01   823
2014-04-01   828
2014-07-01   822
2014-10-01   820
2015-01-01   810
2015-04-01   810
2015-07-01   806
2015-10-01   807
2016-01-01   802
2016-04-01   802
2016-07-01   795
2016-10-01   801
2017-01-01   808
2017-04-01   816
2017-07-01   824
2017-10-01   832
2018-01-01   835
