Title:               Equifax Subprime Credit Population for Sampson County, NC
Series ID:           EQFXSUBPRIME037163
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.784506273867976
1999-04-01  40.039199216015680
1999-07-01  39.123006833712985
1999-10-01  39.604664391353810
2000-01-01  40.443171540548690
2000-04-01  39.580801944106920
2000-07-01  40.015026296018030
2000-10-01  37.848264037719670
2001-01-01  39.166177334116260
2001-04-01  38.903394255874670
2001-07-01  39.384395132426630
2001-10-01  39.881706801858890
2002-01-01  40.326472675656500
2002-04-01  39.856733524355306
2002-07-01  39.991451773756950
2002-10-01  39.796659404502540
2003-01-01  40.799520886360234
2003-04-01  40.973907766990294
2003-07-01  41.505409111686730
2003-10-01  41.556668183887120
2004-01-01  42.994718856787820
2004-04-01  42.850474560448110
2004-07-01  43.342644320297950
2004-10-01  43.521388716677000
2005-01-01  43.217859892224790
2005-04-01  42.647956070774860
2005-07-01  43.754897351512300
2005-10-01  44.333174376092835
2006-01-01  43.694047432071620
2006-04-01  43.054701905347265
2006-07-01  43.011571254567600
2006-10-01  42.895357985837926
2007-01-01  42.721321695760600
2007-04-01  42.169954476479520
2007-07-01  41.546329723225030
2007-10-01  42.420796100731110
2008-01-01  45.211819152723386
2008-04-01  45.495495495495500
2008-07-01  45.253902745379510
2008-10-01  44.915558749550840
2009-01-01  44.352617079889804
2009-04-01  44.348306332842410
2009-07-01  43.974121996303150
2009-10-01  44.440256313607236
2010-01-01  44.219489120151370
2010-04-01  43.213139512931846
2010-07-01  42.948960302457465
2010-10-01  43.008114738629935
2011-01-01  42.689616039341786
2011-04-01  42.822062712504724
2011-07-01  42.654028436018960
2011-10-01  42.956948640483380
2012-01-01  43.059273422562136
2012-04-01  42.699199390011440
2012-07-01  42.275334608030590
2012-10-01  42.773029439696110
2013-01-01  41.238642684961990
2013-04-01  40.280339358170420
2013-07-01  39.598007215255110
2013-10-01  39.518317503392130
2014-01-01  39.146821997601506
2014-04-01  38.757042854703770
2014-07-01  38.938500421229996
2014-10-01  39.107350257176044
2015-01-01  38.881557241834380
2015-04-01  37.888098318240620
2015-07-01  38.976000000000000
2015-10-01  39.330951607664830
2016-01-01  39.080645161290320
2016-04-01  38.739319684023860
2016-07-01  37.986198243412800
2016-10-01  37.046792686705920
2017-01-01  36.533041027247100
2017-04-01  35.617925259730190
2017-07-01  35.894638403990020
2017-10-01  36.004514672686230
2018-01-01  35.656922582717634
2018-04-01  35.463517230221650
2018-07-01  35.858585858585855
