Title:               Average Weekly Wages for Employees in Local Government Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   376
1990-04-01   397
1990-07-01   393
1990-10-01   399
1991-01-01   395
1991-04-01   419
1991-07-01   413
1991-10-01   420
1992-01-01   403
1992-04-01   440
1992-07-01   434
1992-10-01   453
1993-01-01   414
1993-04-01   452
1993-07-01   451
1993-10-01   449
1994-01-01   444
1994-04-01   459
1994-07-01   490
1994-10-01   472
1995-01-01   478
1995-04-01   484
1995-07-01   499
1995-10-01   493
1996-01-01   481
1996-04-01   489
1996-07-01   520
1996-10-01   512
1997-01-01   491
1997-04-01   507
1997-07-01   526
1997-10-01   523
1998-01-01   523
1998-04-01   530
1998-07-01   594
1998-10-01   566
1999-01-01   525
1999-04-01   578
1999-07-01   609
1999-10-01   580
2000-01-01   551
2000-04-01   609
2000-07-01   589
2000-10-01   610
2001-01-01   591
2001-04-01   646
2001-07-01   617
2001-10-01   644
2002-01-01     .
2002-04-01   666
2002-07-01   626
2002-10-01     .
2003-01-01     .
2003-04-01   682
2003-07-01   667
2003-10-01     .
2004-01-01   631
2004-04-01   687
2004-07-01   729
2004-10-01   708
2005-01-01   664
2005-04-01   667
2005-07-01   715
2005-10-01   707
2006-01-01   695
2006-04-01   684
2006-07-01   739
2006-10-01   731
2007-01-01   735
2007-04-01   713
2007-07-01   777
2007-10-01   766
2008-01-01   752
2008-04-01   737
2008-07-01   808
2008-10-01   820
2009-01-01   739
2009-04-01   749
2009-07-01   815
2009-10-01   848
2010-01-01   750
2010-04-01   745
2010-07-01   843
2010-10-01   810
2011-01-01   775
2011-04-01   769
2011-07-01   799
2011-10-01   826
2012-01-01   779
2012-04-01   798
2012-07-01   803
2012-10-01   833
2013-01-01   824
2013-04-01   832
2013-07-01   852
2013-10-01   874
2014-01-01   836
2014-04-01   846
2014-07-01   877
2014-10-01   925
2015-01-01   827
2015-04-01   877
2015-07-01   884
2015-10-01   972
2016-01-01   910
2016-04-01   860
2016-07-01   952
2016-10-01   913
2017-01-01   939
2017-04-01   878
2017-07-01   968
2017-10-01   924
2018-01-01   971
2018-04-01   904
