Title:               Equifax Subprime Credit Population for Clay County, NC
Series ID:           EQFXSUBPRIME037043
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  28.311688311688310
1999-04-01  26.599326599326602
1999-07-01  25.632083696599828
1999-10-01  25.562556255625562
2000-01-01  26.258005489478500
2000-04-01  25.332068311195442
2000-07-01  25.234521575984992
2000-10-01  23.911187019641332
2001-01-01  25.559380378657487
2001-04-01  23.626852659110720
2001-07-01  24.713150926743160
2001-10-01  24.383802816901408
2002-01-01  25.269784172661870
2002-04-01  25.109745390693590
2002-07-01  24.850555081127244
2002-10-01  25.249772933696640
2003-01-01  25.468164794007492
2003-04-01  25.521821631878556
2003-07-01  26.391554702495203
2003-10-01  26.023391812865498
2004-01-01  26.699029126213592
2004-04-01  27.021883920076117
2004-07-01  26.930693069306933
2004-10-01  27.343750000000000
2005-01-01  27.466150870406192
2005-04-01  26.275992438563330
2005-07-01  26.320501342882725
2005-10-01  29.328621908127207
2006-01-01  28.164291701592624
2006-04-01  28.086164043082025
2006-07-01  29.195205479452053
2006-10-01  31.095406360424030
2007-01-01  30.988423864648260
2007-04-01  30.000000000000000
2007-07-01  30.821917808219180
2007-10-01  31.539187913125588
2008-01-01  30.346820809248555
2008-04-01  29.475766567754697
2008-07-01  28.803827751196170
2008-10-01  30.520117762512267
2009-01-01  31.349206349206348
2009-04-01  30.237154150197625
2009-07-01  30.716388616290480
2009-10-01  29.087261785356066
2010-01-01  30.110775427995970
2010-04-01  27.783452502553622
2010-07-01  28.125000000000000
2010-10-01  28.175026680896476
2011-01-01  29.361702127659573
2011-04-01  28.811777076761302
2011-07-01  28.710725893824485
2011-10-01  29.257641921397383
2012-01-01  29.799107142857146
2012-04-01  29.347826086956523
2012-07-01  27.896995708154503
2012-10-01  27.741935483870968
2013-01-01  27.432712215320908
2013-04-01  27.027027027027028
2013-07-01  28.260869565217390
2013-10-01  28.483606557377050
2014-01-01  27.533265097236438
2014-04-01  28.600612870275793
2014-07-01  28.629032258064520
2014-10-01  29.879275653923543
2015-01-01  28.613861386138613
2015-04-01  28.078817733990146
2015-07-01  26.763285024154587
2015-10-01  27.634011090573010
2016-01-01  27.602230483271374
2016-04-01  26.962142197599260
2016-07-01  25.529953917050690
2016-10-01  26.612903225806450
2017-01-01  27.256478999106342
2017-04-01  27.272727272727270
2017-07-01  26.654898499558694
2017-10-01  27.351916376306620
2018-01-01  25.559380378657487
2018-04-01  23.913043478260870
2018-07-01  23.922603342128408
