Title:               Number of Private Establishments for All Industries in Burke County, NC
Series ID:           ENU3702320510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1163
1990-04-01  1196
1990-07-01  1207
1990-10-01  1221
1991-01-01  1220
1991-04-01  1227
1991-07-01  1233
1991-10-01  1241
1992-01-01  1247
1992-04-01  1259
1992-07-01  1268
1992-10-01  1269
1993-01-01  1284
1993-04-01  1299
1993-07-01  1314
1993-10-01  1316
1994-01-01  1299
1994-04-01  1315
1994-07-01  1319
1994-10-01  1337
1995-01-01  1322
1995-04-01  1331
1995-07-01  1350
1995-10-01  1351
1996-01-01  1357
1996-04-01  1360
1996-07-01  1354
1996-10-01  1372
1997-01-01  1367
1997-04-01  1385
1997-07-01  1415
1997-10-01  1398
1998-01-01  1374
1998-04-01  1390
1998-07-01  1397
1998-10-01  1400
1999-01-01  1394
1999-04-01  1428
1999-07-01  1449
1999-10-01  1485
2000-01-01  1468
2000-04-01  1476
2000-07-01  1480
2000-10-01  1481
2001-01-01  1475
2001-04-01  1472
2001-07-01  1477
2001-10-01  1482
2002-01-01  1486
2002-04-01  1490
2002-07-01  1493
2002-10-01  1491
2003-01-01  1442
2003-04-01  1448
2003-07-01  1447
2003-10-01  1441
2004-01-01  1430
2004-04-01  1431
2004-07-01  1434
2004-10-01  1435
2005-01-01  1447
2005-04-01  1440
2005-07-01  1448
2005-10-01  1446
2006-01-01  1454
2006-04-01  1475
2006-07-01  1477
2006-10-01  1480
2007-01-01  1484
2007-04-01  1487
2007-07-01  1501
2007-10-01  1504
2008-01-01  1507
2008-04-01  1489
2008-07-01  1475
2008-10-01  1478
2009-01-01  1480
2009-04-01  1462
2009-07-01  1457
2009-10-01  1468
2010-01-01  1462
2010-04-01  1464
2010-07-01  1461
2010-10-01  1457
2011-01-01  1446
2011-04-01  1449
2011-07-01  1459
2011-10-01  1465
2012-01-01  1451
2012-04-01  1469
2012-07-01  1468
2012-10-01  1468
2013-01-01  1418
2013-04-01  1422
2013-07-01  1407
2013-10-01  1404
2014-01-01  1402
2014-04-01  1399
2014-07-01  1401
2014-10-01  1403
2015-01-01  1393
2015-04-01  1398
2015-07-01  1378
2015-10-01  1388
2016-01-01  1379
2016-04-01  1378
2016-07-01  1372
2016-10-01  1372
2017-01-01  1371
2017-04-01  1369
2017-07-01  1368
2017-10-01  1389
2018-01-01  1380
