Title:               Equifax Subprime Credit Population for Scotland County, NC
Series ID:           EQFXSUBPRIME037165
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.839329719073430
1999-04-01  44.334732164897550
1999-07-01  43.726041400460005
1999-10-01  44.427123928293064
2000-01-01  46.548532134355995
2000-04-01  45.087626128518320
2000-07-01  46.805234795996920
2000-10-01  44.212796549245150
2001-01-01  45.797101449275360
2001-04-01  45.012106537530265
2001-07-01  44.230769230769226
2001-10-01  44.696969696969695
2002-01-01  45.529043142926010
2002-04-01  45.493767976989450
2002-07-01  45.933589990375360
2002-10-01  47.074468085106390
2003-01-01  47.105452798462650
2003-04-01  47.061740639722295
2003-07-01  47.971122728404280
2003-10-01  48.622934401602400
2004-01-01  49.260204081632650
2004-04-01  48.348577235772350
2004-07-01  47.965846308387746
2004-10-01  47.679531021006350
2005-01-01  47.781488549618324
2005-04-01  47.916666666666670
2005-07-01  48.542490118577080
2005-10-01  48.595367175948745
2006-01-01  48.547008547008545
2006-04-01  47.499401770758550
2006-07-01  47.922568460812090
2006-10-01  48.652621264086235
2007-01-01  48.705422569614070
2007-04-01  47.525699258905090
2007-07-01  47.985257985257980
2007-10-01  48.007968127490045
2008-01-01  50.555849655902600
2008-04-01  50.403877221324720
2008-07-01  50.920910075839660
2008-10-01  50.404312668463610
2009-01-01  49.986394557823125
2009-04-01  49.618943930321170
2009-07-01  49.741917957076880
2009-10-01  49.511665762344000
2010-01-01  49.265505984766050
2010-04-01  48.640565524741710
2010-07-01  48.508075554338895
2010-10-01  49.010695187165770
2011-01-01  48.332881539712660
2011-04-01  47.761611639619474
2011-07-01  48.202842017275000
2011-10-01  48.585972850678730
2012-01-01  48.225761385861970
2012-04-01  48.943857698721510
2012-07-01  48.204264870931540
2012-10-01  48.780487804878050
2013-01-01  47.256347256347260
2013-04-01  45.785997357992070
2013-07-01  45.327336331834080
2013-10-01  45.223730517848170
2014-01-01  45.235756385068770
2014-04-01  45.192066281697215
2014-07-01  45.869511287521710
2014-10-01  46.220142821965034
2015-01-01  46.323894684550420
2015-04-01  43.352601156069360
2015-07-01  43.473895582329320
2015-10-01  43.488023952095810
2016-01-01  43.648614923883210
2016-04-01  43.825108667859880
2016-07-01  43.692543411644536
2016-10-01  43.737524950099800
2017-01-01  43.342424993801146
2017-04-01  42.439516129032256
2017-07-01  42.875221462920784
2017-10-01  43.672520661157030
2018-01-01  42.761290322580650
2018-04-01  42.338605133523465
2018-07-01  41.916322314049590
