Title:               Total Quarterly Wages in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258630010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01   709042797
1990-04-01   740140304
1990-07-01   706376819
1990-10-01   781122415
1991-01-01   690273659
1991-04-01   736624363
1991-07-01   715495732
1991-10-01   806607933
1992-01-01   747564583
1992-04-01   792602666
1992-07-01   766358175
1992-10-01   891295173
1993-01-01   774805067
1993-04-01   830312260
1993-07-01   841944107
1993-10-01   944953119
1994-01-01   837637339
1994-04-01   887515892
1994-07-01   889712976
1994-10-01  1017746862
1995-01-01   918987362
1995-04-01   932150186
1995-07-01   889085422
1995-10-01  1005832605
1996-01-01   923493054
1996-04-01   967051120
1996-07-01   935604453
1996-10-01  1073731620
1997-01-01   986206507
1997-04-01  1030470082
1997-07-01   988771981
1997-10-01  1126174366
1998-01-01  1026991862
1998-04-01  1089342857
1998-07-01  1074449806
1998-10-01  1234850339
1999-01-01  1078899865
1999-04-01  1133318623
1999-07-01  1167406788
1999-10-01  1298712396
2000-01-01  1206631830
2000-04-01  1237910151
2000-07-01  1197446779
2000-10-01  1313749417
2001-01-01  1224784370
2001-04-01  1197484805
2001-07-01  1138275712
2001-10-01  1248898888
2002-01-01  1149595412
2002-04-01  1176750947
2002-07-01  1120289884
2002-10-01  1227292446
2003-01-01  1120796864
2003-04-01  1120481375
2003-07-01  1087109118
2003-10-01  1240544475
2004-01-01  1126450684
2004-04-01  1160787178
2004-07-01  1181402568
2004-10-01  1295149072
2005-01-01  1149765713
2005-04-01  1183973523
2005-07-01  1197847444
2005-10-01  1274262869
2006-01-01  1251051291
2006-04-01  1233580481
2006-07-01  1205396159
2006-10-01  1334324583
2007-01-01  1274050817
2007-04-01  1263703785
2007-07-01  1243864438
2007-10-01  1352248459
2008-01-01  1266237605
2008-04-01  1260938267
2008-07-01  1210163924
2008-10-01  1300121777
2009-01-01  1115993356
2009-04-01  1105848610
2009-07-01  1081959791
2009-10-01  1228524142
2010-01-01  1081692118
2010-04-01  1139039669
2010-07-01  1138534149
2010-10-01  1253094401
2011-01-01  1163850647
2011-04-01  1166036143
2011-07-01  1185542246
2011-10-01  1251690426
2012-01-01  1191973111
2012-04-01  1186660867
2012-07-01  1174286329
2012-10-01  1271590810
2013-01-01  1216605179
2013-04-01  1213203290
2013-07-01  1206782037
2013-10-01  1292779201
2014-01-01  1242437344
2014-04-01  1250583606
2014-07-01  1242679595
2014-10-01  1368510097
2015-01-01  1309790436
2015-04-01  1308076142
2015-07-01  1317932489
2015-10-01  1503825198
2016-01-01  1335150889
2016-04-01  1378364585
2016-07-01  1414721173
2016-10-01  1505763963
2017-01-01  1522106592
2017-04-01  1466234122
2017-07-01  1428596609
2017-10-01  1568771597
2018-01-01  1565902239
