Title:               Number of Private Establishments for All Industries in Anson County, NC
Series ID:           ENU3700720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   403
1990-04-01   412
1990-07-01   407
1990-10-01   411
1991-01-01   411
1991-04-01   418
1991-07-01   415
1991-10-01   413
1992-01-01   400
1992-04-01   395
1992-07-01   398
1992-10-01   395
1993-01-01   390
1993-04-01   392
1993-07-01   394
1993-10-01   397
1994-01-01   389
1994-04-01   381
1994-07-01   384
1994-10-01   386
1995-01-01   381
1995-04-01   388
1995-07-01   384
1995-10-01   386
1996-01-01   385
1996-04-01   383
1996-07-01   383
1996-10-01   392
1997-01-01   398
1997-04-01   398
1997-07-01   411
1997-10-01   402
1998-01-01   407
1998-04-01   404
1998-07-01   411
1998-10-01   418
1999-01-01   420
1999-04-01   428
1999-07-01   436
1999-10-01   442
2000-01-01   439
2000-04-01   443
2000-07-01   433
2000-10-01   435
2001-01-01   432
2001-04-01   440
2001-07-01   436
2001-10-01   435
2002-01-01   447
2002-04-01   445
2002-07-01   448
2002-10-01   446
2003-01-01   451
2003-04-01   456
2003-07-01   451
2003-10-01   447
2004-01-01   448
2004-04-01   449
2004-07-01   455
2004-10-01   456
2005-01-01   458
2005-04-01   457
2005-07-01   463
2005-10-01   458
2006-01-01   462
2006-04-01   454
2006-07-01   458
2006-10-01   462
2007-01-01   461
2007-04-01   468
2007-07-01   466
2007-10-01   471
2008-01-01   466
2008-04-01   457
2008-07-01   460
2008-10-01   465
2009-01-01   463
2009-04-01   464
2009-07-01   445
2009-10-01   435
2010-01-01   433
2010-04-01   432
2010-07-01   430
2010-10-01   433
2011-01-01   426
2011-04-01   428
2011-07-01   440
2011-10-01   436
2012-01-01   440
2012-04-01   441
2012-07-01   440
2012-10-01   436
2013-01-01   432
2013-04-01   431
2013-07-01   430
2013-10-01   432
2014-01-01   434
2014-04-01   429
2014-07-01   429
2014-10-01   427
2015-01-01   416
2015-04-01   413
2015-07-01   407
2015-10-01   414
2016-01-01   408
2016-04-01   410
2016-07-01   399
2016-10-01   406
2017-01-01   413
2017-04-01   419
2017-07-01   420
2017-10-01   424
2018-01-01   423
