Title:               Equifax Subprime Credit Population for Polk County, NC
Series ID:           EQFXSUBPRIME037149
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  25.029892387405340
1999-04-01  24.870051979208316
1999-07-01  23.405972558514932
1999-10-01  23.608289313287280
2000-01-01  24.350259896041585
2000-04-01  24.376367614879648
2000-07-01  22.504708097928436
2000-10-01  20.822510822510820
2001-01-01  19.516407599309154
2001-04-01  18.953974895397490
2001-07-01  19.331333047578227
2001-10-01  20.885547201336674
2002-01-01  20.956039265898422
2002-04-01  21.205643437366394
2002-07-01  20.247757368645880
2002-10-01  20.243796255986070
2003-01-01  19.624125874125873
2003-04-01  19.438350153576130
2003-07-01  19.022222222222222
2003-10-01  19.215336602764154
2004-01-01  19.211822660098520
2004-04-01  19.402319357716323
2004-07-01  19.075668328047122
2004-10-01  19.117647058823530
2005-01-01  18.067590987868286
2005-04-01  18.609580330648580
2005-07-01  17.836010143702453
2005-10-01  18.725951261222747
2006-01-01  18.701633705932930
2006-04-01  18.080548414738644
2006-07-01  18.314559866499792
2006-10-01  19.268817204301076
2007-01-01  19.277108433734940
2007-04-01  18.537200504413620
2007-07-01  18.352059925093634
2007-10-01  18.125259228535878
2008-01-01  18.636171113934775
2008-04-01  18.548733361957920
2008-07-01  20.578473210052156
2008-10-01  22.647206844489180
2009-01-01  22.522080471050050
2009-04-01  22.111553784860558
2009-07-01  21.899606299212600
2009-10-01  21.518987341772153
2010-01-01  21.432332806740390
2010-04-01  21.462140992167104
2010-07-01  21.424829753797800
2010-10-01  22.391190351337180
2011-01-01  21.725571725571726
2011-04-01  20.842217484008530
2011-07-01  21.600000000000000
2011-10-01  22.400000000000002
2012-01-01  22.688629117959618
2012-04-01  22.760800842992623
2012-07-01  23.146186440677965
2012-10-01  22.875131164742918
2013-01-01  21.402597402597404
2013-04-01  21.336760925449873
2013-07-01  21.724137931034480
2013-10-01  20.561199806482826
2014-01-01  20.174165457184326
2014-04-01  20.924574209245740
2014-07-01  21.190476190476190
2014-10-01  21.490803484995162
2015-01-01  21.656354117087100
2015-04-01  21.015180265654650
2015-07-01  21.207798383262006
2015-10-01  21.123491179201487
2016-01-01  21.096654275092938
2016-04-01  21.010762751520822
2016-07-01  21.353930031803724
2016-10-01  21.402214022140220
2017-01-01  20.882088208820882
2017-04-01  20.600272851296044
2017-07-01  20.439963336388633
2017-10-01  21.366345712975697
2018-01-01  20.764272559852670
2018-04-01  20.083294770939382
2018-07-01  20.469181232750692
