Title:               Total Quarterly Wages in Greenville, NC (MSA)
Series ID:           ENUC247830010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE            VALUE
1990-01-01  231959944
1990-04-01  238064547
1990-07-01  253618569
1990-10-01  274540243
1991-01-01  248187367
1991-04-01  244515506
1991-07-01  268403280
1991-10-01  284883616
1992-01-01  252718591
1992-04-01  259158905
1992-07-01  286478840
1992-10-01  315444935
1993-01-01  266583345
1993-04-01  282516015
1993-07-01  316399385
1993-10-01  326864098
1994-01-01  299630253
1994-04-01  307164232
1994-07-01  334753332
1994-10-01  344371988
1995-01-01  329260835
1995-04-01  337390708
1995-07-01  346216164
1995-10-01  359520502
1996-01-01  343539868
1996-04-01  352901753
1996-07-01  362908511
1996-10-01  389007142
1997-01-01  372561110
1997-04-01  386190467
1997-07-01  385211252
1997-10-01  424154440
1998-01-01  375150321
1998-04-01  402111150
1998-07-01  408307618
1998-10-01  462601234
1999-01-01  412211072
1999-04-01  430170565
1999-07-01  446215938
1999-10-01  497926630
2000-01-01  453375840
2000-04-01  475201659
2000-07-01  454620668
2000-10-01  544042424
2001-01-01  465865309
2001-04-01  484603734
2001-07-01  463194535
2001-10-01  518677445
2002-01-01  470661930
2002-04-01  495985720
2002-07-01  481044447
2002-10-01  532998203
2003-01-01  474723251
2003-04-01  495342877
2003-07-01  490699917
2003-10-01  554408594
2004-01-01  488560694
2004-04-01  520224462
2004-07-01  537800899
2004-10-01  571976273
2005-01-01  523811301
2005-04-01  532965615
2005-07-01  567591069
2005-10-01  596962739
2006-01-01  566292668
2006-04-01  572084793
2006-07-01  597881800
2006-10-01  633334486
2007-01-01  618964693
2007-04-01  622875780
2007-07-01  647567620
2007-10-01  697867776
2008-01-01  657584746
2008-04-01  640236886
2008-07-01  658920774
2008-10-01  712717744
2009-01-01  623956746
2009-04-01  630226414
2009-07-01  651149003
2009-10-01  715242506
2010-01-01  635429932
2010-04-01  655289388
2010-07-01  679582554
2010-10-01  732498541
2011-01-01  653917488
2011-04-01  688659159
2011-07-01  689469506
2011-10-01  747750162
2012-01-01  704399720
2012-04-01  723726904
2012-07-01  722886385
2012-10-01  811045661
2013-01-01  698086070
2013-04-01  709118430
2013-07-01  704380033
2013-10-01  769953283
2014-01-01  719558034
2014-04-01  727932737
2014-07-01  728347549
2014-10-01  814713418
2015-01-01  753358838
2015-04-01  760817746
2015-07-01  747133313
2015-10-01  857574332
2016-01-01  774196872
2016-04-01  769883361
2016-07-01  823344460
2016-10-01  845339277
2017-01-01  820365555
2017-04-01  795111708
2017-07-01  853109173
2017-10-01  869850075
2018-01-01  850753529
