Title:               Average Weekly Wages for Employees in Federal Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   666
1990-04-01   527
1990-07-01   654
1990-10-01   653
1991-01-01   718
1991-04-01   625
1991-07-01   715
1991-10-01   645
1992-01-01   769
1992-04-01   657
1992-07-01   717
1992-10-01   802
1993-01-01   740
1993-04-01   697
1993-07-01   791
1993-10-01   802
1994-01-01   759
1994-04-01   684
1994-07-01   744
1994-10-01   758
1995-01-01   691
1995-04-01   646
1995-07-01   773
1995-10-01   793
1996-01-01   714
1996-04-01   787
1996-07-01   717
1996-10-01   831
1997-01-01   740
1997-04-01   779
1997-07-01   732
1997-10-01   821
1998-01-01   751
1998-04-01   822
1998-07-01   755
1998-10-01   858
1999-01-01   773
1999-04-01   850
1999-07-01   792
1999-10-01   911
2000-01-01   911
2000-04-01   806
2000-07-01   851
2000-10-01   845
2001-01-01   942
2001-04-01   891
2001-07-01   954
2001-10-01   911
2002-01-01   960
2002-04-01   951
2002-07-01   976
2002-10-01   953
2003-01-01  1020
2003-04-01   953
2003-07-01  1013
2003-10-01   968
2004-01-01  1105
2004-04-01   998
2004-07-01  1098
2004-10-01  1103
2005-01-01  1074
2005-04-01  1147
2005-07-01  1025
2005-10-01  1060
2006-01-01  1059
2006-04-01  1077
2006-07-01  1171
2006-10-01  1101
2007-01-01  1062
2007-04-01  1207
2007-07-01  1035
2007-10-01  1213
2008-01-01  1025
2008-04-01  1172
2008-07-01  1031
2008-10-01  1230
2009-01-01  1048
2009-04-01  1153
2009-07-01  1079
2009-10-01  1273
2010-01-01  1082
2010-04-01  1144
2010-07-01  1071
2010-10-01  1310
2011-01-01  1124
2011-04-01  1300
2011-07-01  1261
2011-10-01  1193
2012-01-01  1272
2012-04-01  1146
2012-07-01  1251
2012-10-01  1201
2013-01-01  1279
2013-04-01  1151
2013-07-01  1253
2013-10-01  1125
2014-01-01  1329
2014-04-01  1138
2014-07-01  1297
2014-10-01  1152
2015-01-01  1382
2015-04-01  1152
2015-07-01  1342
2015-10-01  1331
2016-01-01  1232
2016-04-01  1140
2016-07-01  1321
2016-10-01  1329
2017-01-01  1240
2017-04-01  1299
2017-07-01  1216
2017-10-01  1368
2018-01-01  1295
