Title:               Average Weekly Wages for Employees in Total Covered Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   346
1990-04-01   346
1990-07-01   367
1990-10-01   400
1991-01-01   373
1991-04-01   366
1991-07-01   390
1991-10-01   409
1992-01-01   384
1992-04-01   381
1992-07-01   412
1992-10-01   451
1993-01-01   389
1993-04-01   398
1993-07-01   437
1993-10-01   449
1994-01-01   419
1994-04-01   413
1994-07-01   437
1994-10-01   445
1995-01-01   427
1995-04-01   427
1995-07-01   427
1995-10-01   443
1996-01-01   436
1996-04-01   435
1996-07-01   442
1996-10-01   473
1997-01-01   460
1997-04-01   473
1997-07-01   458
1997-10-01   498
1998-01-01   449
1998-04-01   473
1998-07-01   481
1998-10-01   534
1999-01-01   475
1999-04-01   485
1999-07-01   503
1999-10-01   552
2000-01-01   503
2000-04-01   517
2000-07-01   500
2000-10-01   589
2001-01-01   517
2001-04-01   533
2001-07-01   521
2001-10-01   582
2002-01-01   537
2002-04-01   550
2002-07-01   538
2002-10-01   586
2003-01-01   546
2003-04-01   560
2003-07-01   562
2003-10-01   624
2004-01-01   555
2004-04-01   578
2004-07-01   592
2004-10-01   626
2005-01-01   579
2005-04-01   585
2005-07-01   618
2005-10-01   634
2006-01-01   608
2006-04-01   603
2006-07-01   632
2006-10-01   650
2007-01-01   632
2007-04-01   627
2007-07-01   650
2007-10-01   682
2008-01-01   649
2008-04-01   641
2008-07-01   664
2008-10-01   713
2009-01-01   648
2009-04-01   661
2009-07-01   683
2009-10-01   741
2010-01-01   665
2010-04-01   677
2010-07-01   712
2010-10-01   755
2011-01-01   685
2011-04-01   713
2011-07-01   722
2011-10-01   762
2012-01-01   717
2012-04-01   730
2012-07-01   729
2012-10-01   803
2013-01-01   745
2013-04-01   754
2013-07-01   745
2013-10-01   803
2014-01-01   758
2014-04-01   761
2014-07-01   763
2014-10-01   832
2015-01-01   783
2015-04-01   787
2015-07-01   780
2015-10-01   874
2016-01-01   801
2016-04-01   792
2016-07-01   847
2016-10-01   856
2017-01-01   837
2017-04-01   810
2017-07-01   873
2017-10-01   865
2018-01-01   853
