Title:               Equifax Subprime Credit Population for Transylvania County, NC
Series ID:           EQFXSUBPRIME037175
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.975446428571430
1999-04-01  31.813094571908223
1999-07-01  31.033495562553682
1999-10-01  31.624423963133640
2000-01-01  31.921546333143830
2000-04-01  30.039863325740317
2000-07-01  29.531680440771353
2000-10-01  27.797202797202797
2001-01-01  28.234417680655575
2001-04-01  28.591715976331360
2001-07-01  27.781715095676823
2001-10-01  27.094515752625437
2002-01-01  28.240302743614006
2002-04-01  28.239436619718310
2002-07-01  27.870785192171660
2002-10-01  27.675804529201432
2003-01-01  27.625240847784198
2003-04-01  27.294627800529990
2003-07-01  27.537277537277540
2003-10-01  27.860220201053140
2004-01-01  28.689120426459898
2004-04-01  28.756730298580518
2004-07-01  28.300455235204858
2004-10-01  28.600823045267486
2005-01-01  27.926798696415140
2005-04-01  26.699751861042180
2005-07-01  26.729716276754605
2005-10-01  27.194535795598280
2006-01-01  27.397959183673470
2006-04-01  26.919113858835650
2006-07-01  26.987447698744770
2006-10-01  27.380631238198006
2007-01-01  27.059796087076332
2007-04-01  27.109762824048538
2007-07-01  25.988200589970500
2007-10-01  26.448053938093780
2008-01-01  27.623406341941810
2008-04-01  27.038770053475936
2008-07-01  26.103190767141886
2008-10-01  26.933607118412045
2009-01-01  26.047486033519550
2009-04-01  26.023594725884802
2009-07-01  26.089941640920010
2009-10-01  27.088430618664805
2010-01-01  26.566951566951570
2010-04-01  25.227750525578134
2010-07-01  25.017844396859385
2010-10-01  24.622573687994247
2011-01-01  25.472034200213750
2011-04-01  24.514737598849750
2011-07-01  24.099821746880572
2011-10-01  24.194702934860416
2012-01-01  23.598714744734020
2012-04-01  22.968197879858657
2012-07-01  22.586266991983270
2012-10-01  23.595113438045377
2013-01-01  22.914503288335062
2013-04-01  22.427350427350430
2013-07-01  23.176242737249840
2013-10-01  23.267165636186140
2014-01-01  21.713538260300850
2014-04-01  22.010342598577893
2014-07-01  21.929260450160772
2014-10-01  22.733037412809132
2015-01-01  22.651757188498404
2015-04-01  22.267460068900720
2015-07-01  22.280919825978867
2015-10-01  22.201434362332400
2016-01-01  21.972265023112480
2016-04-01  22.185330516148504
2016-07-01  21.437161755862900
2016-10-01  21.624033313503865
2017-01-01  20.889805539186803
2017-04-01  20.573602575358503
2017-07-01  20.699881376037960
2017-10-01  19.923031379514505
2018-01-01  19.761904761904763
2018-04-01  19.523099850968702
2018-07-01  20.502215657311670
