Title:               Average Weekly Wages for Employees in Private Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   237
1990-04-01   242
1990-07-01   244
1990-10-01   262
1991-01-01   237
1991-04-01   248
1991-07-01   248
1991-10-01   264
1992-01-01   258
1992-04-01   257
1992-07-01   263
1992-10-01   282
1993-01-01   250
1993-04-01   267
1993-07-01   274
1993-10-01   291
1994-01-01   266
1994-04-01   271
1994-07-01   286
1994-10-01   289
1995-01-01   282
1995-04-01   284
1995-07-01   289
1995-10-01   308
1996-01-01   290
1996-04-01   292
1996-07-01   300
1996-10-01   328
1997-01-01   303
1997-04-01   307
1997-07-01   310
1997-10-01   349
1998-01-01   316
1998-04-01   323
1998-07-01   332
1998-10-01   364
1999-01-01   327
1999-04-01   328
1999-07-01   345
1999-10-01   371
2000-01-01   350
2000-04-01   347
2000-07-01   344
2000-10-01   373
2001-01-01   347
2001-04-01   351
2001-07-01   352
2001-10-01   380
2002-01-01   363
2002-04-01   367
2002-07-01   368
2002-10-01   388
2003-01-01   370
2003-04-01   372
2003-07-01   374
2003-10-01   411
2004-01-01   383
2004-04-01   383
2004-07-01   398
2004-10-01   435
2005-01-01   389
2005-04-01   404
2005-07-01   424
2005-10-01   436
2006-01-01   429
2006-04-01   419
2006-07-01   428
2006-10-01   451
2007-01-01   447
2007-04-01   430
2007-07-01   444
2007-10-01   473
2008-01-01   456
2008-04-01   443
2008-07-01   456
2008-10-01   487
2009-01-01   455
2009-04-01   462
2009-07-01   470
2009-10-01   528
2010-01-01   467
2010-04-01   488
2010-07-01   502
2010-10-01   545
2011-01-01   484
2011-04-01   498
2011-07-01   522
2011-10-01   532
2012-01-01   510
2012-04-01   506
2012-07-01   500
2012-10-01   539
2013-01-01   514
2013-04-01   517
2013-07-01   520
2013-10-01   553
2014-01-01   510
2014-04-01   517
2014-07-01   513
2014-10-01   556
2015-01-01   506
2015-04-01   521
2015-07-01   524
2015-10-01   574
2016-01-01   516
2016-04-01   532
2016-07-01   556
2016-10-01   574
2017-01-01   553
2017-04-01   544
2017-07-01   555
2017-10-01   585
2018-01-01   566
