Title:               Average Weekly Wages for Employees in Federal Government Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   579
1990-04-01   500
1990-07-01   615
1990-10-01   603
1991-01-01   665
1991-04-01   620
1991-07-01   610
1991-10-01   606
1992-01-01   671
1992-04-01   631
1992-07-01   696
1992-10-01   740
1993-01-01   672
1993-04-01   690
1993-07-01   771
1993-10-01   725
1994-01-01   699
1994-04-01   715
1994-07-01   756
1994-10-01   766
1995-01-01   719
1995-04-01   708
1995-07-01   757
1995-10-01   760
1996-01-01   737
1996-04-01   729
1996-07-01   731
1996-10-01   770
1997-01-01   815
1997-04-01   776
1997-07-01   817
1997-10-01   799
1998-01-01   798
1998-04-01   785
1998-07-01   810
1998-10-01   884
1999-01-01   773
1999-04-01   826
1999-07-01   791
1999-10-01   863
2000-01-01   782
2000-04-01   761
2000-07-01   810
2000-10-01   852
2001-01-01   884
2001-04-01   864
2001-07-01   884
2001-10-01   942
2002-01-01   963
2002-04-01   958
2002-07-01   923
2002-10-01   988
2003-01-01   964
2003-04-01   990
2003-07-01   982
2003-10-01  1029
2004-01-01  1030
2004-04-01  1069
2004-07-01  1148
2004-10-01  1055
2005-01-01  1109
2005-04-01  1091
2005-07-01  1119
2005-10-01  1085
2006-01-01  1129
2006-04-01  1105
2006-07-01  1189
2006-10-01  1121
2007-01-01  1156
2007-04-01  1136
2007-07-01  1207
2007-10-01  1196
2008-01-01  1149
2008-04-01  1168
2008-07-01  1082
2008-10-01  1279
2009-01-01  1128
2009-04-01  1134
2009-07-01  1208
2009-10-01  1297
2010-01-01  1116
2010-04-01   951
2010-07-01  1090
2010-10-01  1366
2011-01-01  1178
2011-04-01  1360
2011-07-01  1252
2011-10-01  1399
2012-01-01  1251
2012-04-01  1292
2012-07-01  1247
2012-10-01  1324
2013-01-01  1314
2013-04-01  1371
2013-07-01  1342
2013-10-01  1330
2014-01-01  1406
2014-04-01  1368
2014-07-01  1404
2014-10-01  1364
2015-01-01  1409
2015-04-01  1327
2015-07-01  1389
2015-10-01  1402
2016-01-01  1403
2016-04-01  1248
2016-07-01  1482
2016-10-01  1386
2017-01-01  1409
2017-04-01  1320
2017-07-01  1397
2017-10-01  1375
2018-01-01  1352
