Title:               Total Quarterly Wages in Goldsboro, NC (MSA)
Series ID:           ENUC241430010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE            VALUE
1990-01-01  166014367
1990-04-01  165944368
1990-07-01  165455030
1990-10-01  163392274
1991-01-01  164458088
1991-04-01  164971782
1991-07-01  164465645
1991-10-01  166646802
1992-01-01  173609009
1992-04-01  173212166
1992-07-01  174925849
1992-10-01  184182636
1993-01-01  178982442
1993-04-01  184441144
1993-07-01  191786671
1993-10-01  193912295
1994-01-01  195696931
1994-04-01  195957748
1994-07-01  203088258
1994-10-01  203804134
1995-01-01  210346817
1995-04-01  213590898
1995-07-01  240782169
1995-10-01  218134791
1996-01-01  222497659
1996-04-01  225329353
1996-07-01  221411676
1996-10-01  232704242
1997-01-01  236424011
1997-04-01  239732490
1997-07-01  240899947
1997-10-01  246569079
1998-01-01  250801010
1998-04-01  253842131
1998-07-01  256699178
1998-10-01  260558911
1999-01-01  258670592
1999-04-01  259767826
1999-07-01  268991535
1999-10-01  273544448
2000-01-01  278504649
2000-04-01  281220267
2000-07-01  282865956
2000-10-01  278762905
2001-01-01  290216149
2001-04-01  288907204
2001-07-01  283336530
2001-10-01  280448006
2002-01-01  291342286
2002-04-01  291041139
2002-07-01  291561620
2002-10-01  286144213
2003-01-01  285770462
2003-04-01  283780970
2003-07-01  285191177
2003-10-01  291293555
2004-01-01  289651911
2004-04-01  294403901
2004-07-01  304206440
2004-10-01  306770948
2005-01-01  298136973
2005-04-01  307045715
2005-07-01  317625281
2005-10-01  310464661
2006-01-01  325326504
2006-04-01  325159496
2006-07-01  322670752
2006-10-01  327793364
2007-01-01  340972116
2007-04-01  345345775
2007-07-01  342160517
2007-10-01  347590873
2008-01-01  351089511
2008-04-01  346631305
2008-07-01  350363988
2008-10-01  345029418
2009-01-01  340302358
2009-04-01  340310908
2009-07-01  334975626
2009-10-01  345711899
2010-01-01  321997287
2010-04-01  338358321
2010-07-01  337749494
2010-10-01  347622119
2011-01-01  336242756
2011-04-01  353673970
2011-07-01  366134366
2011-10-01  356558166
2012-01-01  373128440
2012-04-01  368447778
2012-07-01  362171834
2012-10-01  365906331
2013-01-01  368956210
2013-04-01  362214507
2013-07-01  362203864
2013-10-01  356653555
2014-01-01  359366135
2014-04-01  356214082
2014-07-01  360181315
2014-10-01  364060462
2015-01-01  363657211
2015-04-01  367466626
2015-07-01  369219899
2015-10-01  384825472
2016-01-01  362466474
2016-04-01  371498113
2016-07-01  384315100
2016-10-01  379166902
2017-01-01  383854610
2017-04-01  389601880
2017-07-01  376903799
2017-10-01  382420646
2018-01-01  388366806
