Title:               Equifax Subprime Credit Population for Gates County, NC
Series ID:           EQFXSUBPRIME037073
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.238805970149250
1999-04-01  43.537641572285140
1999-07-01  43.784206411258790
1999-10-01  43.096774193548384
2000-01-01  41.843971631205676
2000-04-01  39.700374531835210
2000-07-01  39.008832188420016
2000-10-01  35.646387832699624
2001-01-01  37.042389210019266
2001-04-01  34.975845410628020
2001-07-01  34.169593577521326
2001-10-01  34.252169474221546
2002-01-01  34.938524590163940
2002-04-01  34.137191854233656
2002-07-01  34.751773049645394
2002-10-01  35.154525386313466
2003-01-01  36.175115207373274
2003-04-01  34.905660377358490
2003-07-01  34.114114114114116
2003-10-01  34.289127837514930
2004-01-01  36.489898989898990
2004-04-01  35.126582278481010
2004-07-01  36.012861736334410
2004-10-01  35.718891038039970
2005-01-01  36.068702290076340
2005-04-01  36.461126005361930
2005-07-01  35.442176870748300
2005-10-01  36.071428571428570
2006-01-01  36.669101533966400
2006-04-01  37.931034482758620
2006-07-01  39.760956175298810
2006-10-01  38.852988691437800
2007-01-01  38.871473354231970
2007-04-01  38.818897637795274
2007-07-01  38.194444444444440
2007-10-01  38.888888888888890
2008-01-01  40.991735537190080
2008-04-01  42.071197411003230
2008-07-01  42.424242424242420
2008-10-01  43.283582089552230
2009-01-01  43.783303730017764
2009-04-01  43.231046931407940
2009-07-01  41.996402877697840
2009-10-01  41.474245115452930
2010-01-01  41.946902654867260
2010-04-01  41.929666366095580
2010-07-01  41.527655838454784
2010-10-01  43.351063829787236
2011-01-01  41.543798785776240
2011-04-01  41.186736474694590
2011-07-01  41.534391534391530
2011-10-01  39.946380697050934
2012-01-01  38.482384823848236
2012-04-01  38.724168912848160
2012-07-01  39.276257722859660
2012-10-01  38.918439716312060
2013-01-01  38.652482269503544
2013-04-01  37.934105075690120
2013-07-01  36.750651607298000
2013-10-01  37.403267411865860
2014-01-01  35.968722849695915
2014-04-01  37.087214225232856
2014-07-01  37.659033078880405
2014-10-01  38.416175231676500
2015-01-01  37.427864798021430
2015-04-01  37.188019966722130
2015-07-01  36.696501220504470
2015-10-01  36.876533115290270
2016-01-01  35.541195476575120
2016-04-01  35.174654752233955
2016-07-01  36.165048543689320
2016-10-01  35.071090047393370
2017-01-01  35.725552050473180
2017-04-01  36.089030206677265
2017-07-01  35.525260625501204
2017-10-01  35.126582278481010
2018-01-01  35.210150674068200
2018-04-01  34.231378763866880
2018-07-01  33.410138248847930
