Title:               Equifax Subprime Credit Population for Chatham County, NC
Series ID:           EQFXSUBPRIME037037
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  32.014308070646095
1999-04-01  32.135028496273560
1999-07-01  30.864470484191910
1999-10-01  31.959459459459460
2000-01-01  32.440276847510610
2000-04-01  32.040324348016660
2000-07-01  32.122784262862080
2000-10-01  30.396651385290014
2001-01-01  30.301826846703733
2001-04-01  30.318521431380260
2001-07-01  29.984484096198607
2001-10-01  30.207748455923640
2002-01-01  30.145143282471160
2002-04-01  29.992589848091890
2002-07-01  30.037885621504600
2002-10-01  30.481093555831706
2003-01-01  31.052824651504036
2003-04-01  30.544783010156973
2003-07-01  31.071228266965790
2003-10-01  31.138059701492537
2004-01-01  32.043576258452290
2004-04-01  29.878721058434397
2004-07-01  29.715109989181393
2004-10-01  29.736379613356767
2005-01-01  30.065023956194388
2005-04-01  29.346361185983827
2005-07-01  28.726103874132974
2005-10-01  28.671562082777037
2006-01-01  28.658536585365850
2006-04-01  27.962239583333332
2006-07-01  28.213013920362577
2006-10-01  28.687004887915050
2007-01-01  28.390688259109310
2007-04-01  26.990419557317473
2007-07-01  26.798353909465020
2007-10-01  27.484287412943775
2008-01-01  27.925200356188780
2008-04-01  28.013612753000178
2008-07-01  27.194522471910110
2008-10-01  27.069507509605312
2009-01-01  26.680709145164123
2009-04-01  26.381336607612700
2009-07-01  26.351234674494904
2009-10-01  26.130214697154823
2010-01-01  25.766333858819408
2010-04-01  25.380977404098793
2010-07-01  25.245959241040055
2010-10-01  25.574912891986063
2011-01-01  24.974093264248705
2011-04-01  24.191596057409647
2011-07-01  24.804449852250997
2011-10-01  24.712643678160920
2012-01-01  24.581005586592177
2012-04-01  24.266482568173974
2012-07-01  24.428792303727880
2012-10-01  24.577572964669738
2013-01-01  23.783424680285666
2013-04-01  23.287220026350460
2013-07-01  23.511997507011532
2013-10-01  23.184792770333438
2014-01-01  22.375816497037825
2014-04-01  21.826347305389220
2014-07-01  21.903635826189770
2014-10-01  22.550432276657060
2015-01-01  21.775471970024498
2015-04-01  21.133144475920680
2015-07-01  21.434587310499720
2015-10-01  21.094624860022396
2016-01-01  20.664460987041632
2016-04-01  20.454545454545457
2016-07-01  20.313757039420757
2016-10-01  20.255974924905313
2017-01-01  19.864265204907337
2017-04-01  19.435857805255022
2017-07-01  19.338357389194023
2017-10-01  19.365566641084676
2018-01-01  19.062819203268642
2018-04-01  18.756345177664972
2018-07-01  19.038607115821350
