Title:               Equifax Subprime Credit Population for Tyrrell County, NC
Series ID:           EQFXSUBPRIME037177
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.454965357967666
1999-04-01  41.123595505617980
1999-07-01  39.756367663344406
1999-10-01  41.675977653631286
2000-01-01  39.576365663322186
2000-04-01  38.901098901098905
2000-07-01  36.677814938684506
2000-10-01  35.218783351120600
2001-01-01  39.506172839506170
2001-04-01  36.400541271989170
2001-07-01  34.741144414168940
2001-10-01  34.873949579831930
2002-01-01  35.736196319018404
2002-04-01  34.846029173419770
2002-07-01  37.244897959183675
2002-10-01  36.660617059891110
2003-01-01  36.415094339622640
2003-04-01  35.351562500000000
2003-07-01  37.051792828685260
2003-10-01  35.437881873727086
2004-01-01  37.739872068230280
2004-04-01  35.407725321888414
2004-07-01  35.483870967741936
2004-10-01  33.333333333333330
2005-01-01  33.982683982683980
2005-04-01  35.600907029478456
2005-07-01  34.403669724770644
2005-10-01  36.029411764705884
2006-01-01  38.256658595641646
2006-04-01  38.329238329238330
2006-07-01  38.131313131313135
2006-10-01  38.653366583541150
2007-01-01  38.701923076923080
2007-04-01  37.122969837587010
2007-07-01  38.888888888888890
2007-10-01  42.968750000000000
2008-01-01  46.849315068493155
2008-04-01  46.111111111111114
2008-07-01  45.454545454545450
2008-10-01  43.324250681198910
2009-01-01  43.714285714285715
2009-04-01  43.016759776536310
2009-07-01  42.535211267605630
2009-10-01  42.975206611570250
2010-01-01  43.785310734463280
2010-04-01  40.988372093023260
2010-07-01  37.730061349693250
2010-10-01  38.819875776397520
2011-01-01  37.106918238993710
2011-04-01  38.636363636363630
2011-07-01  38.216560509554140
2011-10-01  34.983498349834990
2012-01-01  36.042402826855124
2012-04-01  34.494773519163765
2012-07-01  38.202247191011230
2012-10-01  37.547892720306514
2013-01-01  33.807829181494660
2013-04-01  34.482758620689660
2013-07-01  35.256410256410255
2013-10-01  38.095238095238095
2014-01-01  36.305732484076430
2014-04-01  37.272727272727270
2014-07-01  36.686390532544380
2014-10-01  37.829912023460410
2015-01-01  37.321937321937320
2015-04-01  36.647727272727270
2015-07-01  37.931034482758620
2015-10-01  39.766081871345030
2016-01-01  39.143730886850150
2016-04-01  39.696969696969695
2016-07-01  37.790697674418600
2016-10-01  34.911242603550300
2017-01-01  36.549707602339180
2017-04-01  32.743362831858406
2017-07-01  33.235294117647060
2017-10-01  31.610942249240120
2018-01-01  30.523255813953487
2018-04-01  28.908554572271388
2018-07-01  30.994152046783626
