Title:               Equifax Subprime Credit Population for Washington County, NC
Series ID:           EQFXSUBPRIME037187
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.069012178619760
1999-04-01  41.041244083840430
1999-07-01  40.250696378830080
1999-10-01  41.459957476966690
2000-01-01  41.049604601006465
2000-04-01  39.528432732316226
2000-07-01  41.762711864406780
2000-10-01  41.088788075178220
2001-01-01  41.294196130753830
2001-04-01  40.599455040871940
2001-07-01  40.954942837928710
2001-10-01  42.027027027027025
2002-01-01  42.360163710777630
2002-04-01  42.243116185359305
2002-07-01  42.207792207792200
2002-10-01  42.186495176848880
2003-01-01  43.119266055045880
2003-04-01  42.239685658153240
2003-07-01  41.383812010443870
2003-10-01  41.709183673469380
2004-01-01  42.315112540192930
2004-04-01  42.178594046865100
2004-07-01  41.672067401166560
2004-10-01  40.967544396815676
2005-01-01  40.000000000000000
2005-04-01  40.522063393412054
2005-07-01  40.304182509505700
2005-10-01  41.287878787878790
2006-01-01  41.882501579279850
2006-04-01  40.755208333333330
2006-07-01  41.704325371207230
2006-10-01  40.400775694893340
2007-01-01  40.521172638436480
2007-04-01  40.851334180432020
2007-07-01  40.824211204121056
2007-10-01  42.625169147496614
2008-01-01  44.323144104803490
2008-04-01  45.674486803519060
2008-07-01  43.907875185735510
2008-10-01  44.346549192364170
2009-01-01  44.881305637982194
2009-04-01  44.144144144144140
2009-07-01  44.781643227239080
2009-10-01  44.251134644478064
2010-01-01  44.308632543926660
2010-04-01  44.400630914826500
2010-07-01  43.910256410256410
2010-10-01  43.181818181818180
2011-01-01  42.640000000000000
2011-04-01  41.800643086816720
2011-07-01  42.502004811547714
2011-10-01  42.575039494470770
2012-01-01  43.665338645418330
2012-04-01  43.547110055423595
2012-07-01  42.582197273456295
2012-10-01  42.936507936507940
2013-01-01  40.397857689364955
2013-04-01  39.833080424886190
2013-07-01  39.363241678726480
2013-10-01  38.616714697406340
2014-01-01  37.795275590551180
2014-04-01  36.900625434329390
2014-07-01  37.820512820512820
2014-10-01  38.499646142958240
2015-01-01  38.081603435934150
2015-04-01  36.976579134137690
2015-07-01  37.544107268877916
2015-10-01  37.306064880112835
2016-01-01  36.239193083573480
2016-04-01  36.415770609319000
2016-07-01  36.547868623340320
2016-10-01  36.864111498257840
2017-01-01  36.842105263157890
2017-04-01  37.429775280898870
2017-07-01  36.983471074380160
2017-10-01  38.637896156439650
2018-01-01  37.871458189357290
2018-04-01  37.647877522616560
2018-07-01  36.511299435028250
