Title:               Equifax Subprime Credit Population for Pamlico County, NC
Series ID:           EQFXSUBPRIME037137
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  32.333873581847650
1999-04-01  32.194705380017080
1999-07-01  32.274678111587980
1999-10-01  31.633535004321523
2000-01-01  32.653061224489800
2000-04-01  32.448630136986300
2000-07-01  32.232841007819280
2000-10-01  31.676022453889335
2001-01-01  32.990574121679520
2001-04-01  32.700603968938740
2001-07-01  31.394354148845167
2001-10-01  32.558139534883720
2002-01-01  32.389675270607825
2002-04-01  33.058532563891180
2002-07-01  32.871125611745520
2002-10-01  33.196721311475410
2003-01-01  34.042553191489360
2003-04-01  34.017094017094020
2003-07-01  34.417808219178085
2003-10-01  35.060449050086355
2004-01-01  35.257548845470694
2004-04-01  34.050179211469530
2004-07-01  33.674339300937770
2004-10-01  33.472803347280330
2005-01-01  33.691164327002475
2005-04-01  33.251633986928105
2005-07-01  33.569739952718680
2005-10-01  33.756949960285944
2006-01-01  34.173228346456690
2006-04-01  33.865814696485620
2006-07-01  32.773109243697476
2006-10-01  32.891660171473106
2007-01-01  33.409961685823750
2007-04-01  31.943410275502604
2007-07-01  33.433283358320840
2007-10-01  32.572298325722980
2008-01-01  33.675078864353320
2008-04-01  33.065810593900480
2008-07-01  30.971337579617835
2008-10-01  31.738437001594892
2009-01-01  32.039636663914120
2009-04-01  31.930693069306930
2009-07-01  32.154605263157890
2009-10-01  32.952691680261010
2010-01-01  31.977217249796580
2010-04-01  30.662305805396567
2010-07-01  30.204081632653060
2010-10-01  31.356620633631195
2011-01-01  31.467964314679640
2011-04-01  30.612244897959183
2011-07-01  31.229508196721312
2011-10-01  31.285367825383993
2012-01-01  30.592885375494070
2012-04-01  31.075697211155380
2012-07-01  32.173913043478260
2012-10-01  31.645569620253166
2013-01-01  31.583011583011583
2013-04-01  31.240428790199083
2013-07-01  31.555555555555554
2013-10-01  31.958762886597935
2014-01-01  30.746489283074652
2014-04-01  30.300807043286866
2014-07-01  30.183150183150182
2014-10-01  30.259146341463417
2015-01-01  30.653643876784370
2015-04-01  28.900445765230310
2015-07-01  29.237601776461880
2015-10-01  28.539985326485695
2016-01-01  26.573938506588580
2016-04-01  25.571112748710390
2016-07-01  25.820895522388060
2016-10-01  27.188940092165897
2017-01-01  25.617977528089884
2017-04-01  26.206384558277655
2017-07-01  25.765496639283047
2017-10-01  25.777103866565582
2018-01-01  26.247122026093628
2018-04-01  25.019364833462433
2018-07-01  23.752792256142964
