Title:               Equifax Subprime Credit Population for Durham County, NC
Series ID:           EQFXSUBPRIME037063
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  33.681931984143546
1999-04-01  34.102774759494345
1999-07-01  33.496189692254590
1999-10-01  34.360739732607480
2000-01-01  35.030068728522340
2000-04-01  34.350518738090194
2000-07-01  34.056200366524130
2000-10-01  32.329055544415480
2001-01-01  32.175207205357830
2001-04-01  31.430823206386332
2001-07-01  31.516625257704710
2001-10-01  30.894244699064927
2002-01-01  31.226064120800963
2002-04-01  30.889625563828055
2002-07-01  30.561068497559408
2002-10-01  30.963744232036916
2003-01-01  31.204057829495213
2003-04-01  31.072293418224362
2003-07-01  31.654129212720310
2003-10-01  31.770974198085140
2004-01-01  32.787773683069590
2004-04-01  31.769211693715043
2004-07-01  31.257004659942194
2004-10-01  31.580026958916957
2005-01-01  30.802062955717590
2005-04-01  30.248088719668814
2005-07-01  30.635091496232510
2005-10-01  32.135916433863720
2006-01-01  33.186206896551724
2006-04-01  32.821720606525710
2006-07-01  34.082679104261420
2006-10-01  34.287821064274304
2007-01-01  34.041423260754115
2007-04-01  33.445127631824114
2007-07-01  33.704968944099380
2007-10-01  34.488132731582190
2008-01-01  37.420718816067655
2008-04-01  37.380308456984140
2008-07-01  36.107568414531940
2008-10-01  36.340707645744760
2009-01-01  36.981745621166210
2009-04-01  36.434223724783590
2009-07-01  35.457094370250130
2009-10-01  36.044886084558130
2010-01-01  36.033264980633400
2010-04-01  33.173564024627860
2010-07-01  33.025625311219216
2010-10-01  32.924546322827126
2011-01-01  32.215771463724096
2011-04-01  32.158674404398290
2011-07-01  32.318207708372890
2011-10-01  32.841076905600360
2012-01-01  32.344728699720775
2012-04-01  32.170152481079676
2012-07-01  32.131632464411160
2012-10-01  33.023409650508980
2013-01-01  30.413723511604440
2013-04-01  29.984779299847790
2013-07-01  29.573623443134640
2013-10-01  30.318216756341275
2014-01-01  29.391466122546962
2014-04-01  29.206471266747506
2014-07-01  29.109559270957085
2014-10-01  29.970594229481467
2015-01-01  29.733809399402016
2015-04-01  28.934478994654200
2015-07-01  28.918971400038835
2015-10-01  29.755465404552627
2016-01-01  29.654754344437390
2016-04-01  29.594970024857435
2016-07-01  29.091667825845040
2016-10-01  29.366276359448268
2017-01-01  29.244446906331355
2017-04-01  28.593141183297870
2017-07-01  28.851462510107910
2017-10-01  29.157601115760112
2018-01-01  28.431043171510160
2018-04-01  27.897964873153054
2018-07-01  27.664518270587260
