Title:               Equifax Subprime Credit Population for Graham County, NC
Series ID:           EQFXSUBPRIME037075
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.280038295835325
1999-04-01  34.675072744907860
1999-07-01  33.745247148288975
1999-10-01  35.443037974683540
2000-01-01  33.807491702228546
2000-04-01  33.506616257088844
2000-07-01  34.538711172925360
2000-10-01  32.080536912751676
2001-01-01  32.688053097345130
2001-04-01  32.263610315186250
2001-07-01  31.462799495586380
2001-10-01  31.186224489795915
2002-01-01  32.752846617548556
2002-04-01  32.572614107883815
2002-07-01  33.787661406025826
2002-10-01  32.686567164179100
2003-01-01  33.624107850911976
2003-04-01  33.441033925686590
2003-07-01  32.867707477403450
2003-10-01  33.471760797342190
2004-01-01  34.044298605414276
2004-04-01  35.209923664122140
2004-07-01  36.258437801350050
2004-10-01  35.029354207436400
2005-01-01  34.196428571428570
2005-04-01  33.730158730158735
2005-07-01  33.134328358208954
2005-10-01  35.584137191854230
2006-01-01  32.992849846782430
2006-04-01  32.161874334398290
2006-07-01  33.333333333333330
2006-10-01  33.751425313568990
2007-01-01  32.167832167832170
2007-04-01  32.692307692307690
2007-07-01  34.629404617253954
2007-10-01  32.672112018669780
2008-01-01  35.082872928176800
2008-04-01  36.559139784946240
2008-07-01  35.843793584379355
2008-10-01  35.047361299052774
2009-01-01  33.333333333333330
2009-04-01  32.596685082872930
2009-07-01  33.148404993065190
2009-10-01  33.380281690140850
2010-01-01  32.627118644067800
2010-04-01  33.187134502923975
2010-07-01  32.303370786516860
2010-10-01  30.508474576271187
2011-01-01  31.058495821727018
2011-04-01  30.769230769230770
2011-07-01  30.498533724340177
2011-10-01  31.547619047619047
2012-01-01  30.567685589519648
2012-04-01  32.352941176470590
2012-07-01  32.200886262924670
2012-10-01  31.531531531531530
2013-01-01  31.258840169731260
2013-04-01  31.294452347083930
2013-07-01  34.081902245706736
2013-10-01  33.155080213903744
2014-01-01  32.258064516129030
2014-04-01  33.900523560209420
2014-07-01  34.266666666666666
2014-10-01  33.556149732620320
2015-01-01  32.939632545931760
2015-04-01  31.920529801324506
2015-07-01  32.142857142857146
2015-10-01  32.297297297297300
2016-01-01  30.718085106382980
2016-04-01  31.020942408376960
2016-07-01  32.600258732212160
2016-10-01  33.461047254150700
2017-01-01  33.202614379084960
2017-04-01  32.036316472114140
2017-07-01  32.816537467700260
2017-10-01  31.865284974093267
2018-01-01  32.325886990801580
2018-04-01  32.241153342070774
2018-07-01  32.041343669250644
