Title:               Average Weekly Wages for Employees in State Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   390
1990-04-01   395
1990-07-01   500
1990-10-01   416
1991-01-01   420
1991-04-01   422
1991-07-01   507
1991-10-01   405
1992-01-01   415
1992-04-01   372
1992-07-01   537
1992-10-01   420
1993-01-01   454
1993-04-01   482
1993-07-01   543
1993-10-01   439
1994-01-01   480
1994-04-01   521
1994-07-01   468
1994-10-01   439
1995-01-01   438
1995-04-01   442
1995-07-01   462
1995-10-01   443
1996-01-01   450
1996-04-01   452
1996-07-01   468
1996-10-01   479
1997-01-01   469
1997-04-01   473
1997-07-01   504
1997-10-01   491
1998-01-01   604
1998-04-01   487
1998-07-01   500
1998-10-01   532
1999-01-01   508
1999-04-01   506
1999-07-01   542
1999-10-01   540
2000-01-01   534
2000-04-01   510
2000-07-01   567
2000-10-01   565
2001-01-01   563
2001-04-01   541
2001-07-01   565
2001-10-01   563
2002-01-01   570
2002-04-01   563
2002-07-01   584
2002-10-01   599
2003-01-01   584
2003-04-01   550
2003-07-01   585
2003-10-01   577
2004-01-01   570
2004-04-01   552
2004-07-01   603
2004-10-01   588
2005-01-01   581
2005-04-01   577
2005-07-01   630
2005-10-01   612
2006-01-01   615
2006-04-01   616
2006-07-01   663
2006-10-01   650
2007-01-01   637
2007-04-01   652
2007-07-01   699
2007-10-01   691
2008-01-01   679
2008-04-01   677
2008-07-01   730
2008-10-01   700
2009-01-01   692
2009-04-01   678
2009-07-01   714
2009-10-01   678
2010-01-01   681
2010-04-01   677
2010-07-01   697
2010-10-01   658
2011-01-01   685
2011-04-01   687
2011-07-01   719
2011-10-01   675
2012-01-01   687
2012-04-01   673
2012-07-01   709
2012-10-01   659
2013-01-01   693
2013-04-01   686
2013-07-01   758
2013-10-01   719
2014-01-01   721
2014-04-01   700
2014-07-01   757
2014-10-01   720
2015-01-01   738
2015-04-01   713
2015-07-01   739
2015-10-01   738
2016-01-01   712
2016-04-01   705
2016-07-01   720
2016-10-01   772
2017-01-01   746
2017-04-01   735
2017-07-01   769
2017-10-01   756
2018-01-01   765
