Title:               Total Quarterly Wages in Durham-Chapel Hill, NC (MSA)
Series ID:           ENUC205030010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01  1141328177
1990-04-01  1163507057
1990-07-01  1157082226
1990-10-01  1164548482
1991-01-01  1250185348
1991-04-01  1251260070
1991-07-01  1276129821
1991-10-01  1288314195
1992-01-01  1301461439
1992-04-01  1349624554
1992-07-01  1403740071
1992-10-01  1429592061
1993-01-01  1342513721
1993-04-01  1444714747
1993-07-01  1479063088
1993-10-01  1528322706
1994-01-01  1495981829
1994-04-01  1508007550
1994-07-01  1605652420
1994-10-01  1549029167
1995-01-01  1643921628
1995-04-01  1670177395
1995-07-01  1701826230
1995-10-01  1708831147
1996-01-01  1697957004
1996-04-01  1802597772
1996-07-01  1812741210
1996-10-01  1867011452
1997-01-01  2004741186
1997-04-01  1957397618
1997-07-01  2006776878
1997-10-01  2076193782
1998-01-01  2088165788
1998-04-01  2059025795
1998-07-01  2123608446
1998-10-01  2286974304
1999-01-01  2317591827
1999-04-01  2356188361
1999-07-01  2432168063
1999-10-01  2467503125
2000-01-01  2608212922
2000-04-01  2697436695
2000-07-01  2837125644
2000-10-01  2662893211
2001-01-01  2757520149
2001-04-01  2778452890
2001-07-01  2671988323
2001-10-01  2682269133
2002-01-01  2686539226
2002-04-01  2693705703
2002-07-01  2680961946
2002-10-01  2658070626
2003-01-01  2656899951
2003-04-01  2690605034
2003-07-01  2750218172
2003-10-01  2787128468
2004-01-01  2828896823
2004-04-01  2829532253
2004-07-01  2894458652
2004-10-01  3036403010
2005-01-01  2846157311
2005-04-01  3030415107
2005-07-01  3084908514
2005-10-01  3044221098
2006-01-01  3192810447
2006-04-01  3230531318
2006-07-01  3293872045
2006-10-01  3364293809
2007-01-01  3499705866
2007-04-01  3532850184
2007-07-01  3596574201
2007-10-01  3674163590
2008-01-01  3692581030
2008-04-01  3695636110
2008-07-01  3660828428
2008-10-01  3601825161
2009-01-01  3613979254
2009-04-01  3579931287
2009-07-01  3636318902
2009-10-01  3699479644
2010-01-01  3638327295
2010-04-01  3703793236
2010-07-01  3702773819
2010-10-01  3880211672
2011-01-01  3673918925
2011-04-01  3920609447
2011-07-01  3981494706
2011-10-01  3720910642
2012-01-01  4033158604
2012-04-01  3914779838
2012-07-01  3981080388
2012-10-01  3932209014
2013-01-01  3920786377
2013-04-01  4004204307
2013-07-01  3932579164
2013-10-01  4036005453
2014-01-01  4117327050
2014-04-01  4129640269
2014-07-01  4146297705
2014-10-01  4215646814
2015-01-01  4195806708
2015-04-01  4189420921
2015-07-01  4246075897
2015-10-01  4356363372
2016-01-01  4165708470
2016-04-01  4337094477
2016-07-01  4507777394
2016-10-01  4425908569
2017-01-01  4485153610
2017-04-01  4528500297
2017-07-01  4524573506
2017-10-01  4612118711
2018-01-01  4733107902
