Title:               Average Weekly Wages for Employees in Private Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  321.0
1990-04-01  333.1
1990-07-01  328.4
1990-10-01  345.3
1991-01-01  354.3
1991-04-01  354.5
1991-07-01  355.3
1991-10-01  357.0
1992-01-01  360.5
1992-04-01  365.8
1992-07-01  371.4
1992-10-01  395.8
1993-01-01  361.5
1993-04-01  380.5
1993-07-01  387.9
1993-10-01  393.1
1994-01-01  386.4
1994-04-01  382.8
1994-07-01  397.1
1994-10-01  387.2
1995-01-01  393.8
1995-04-01  397.7
1995-07-01  396.8
1995-10-01  383.5
1996-01-01  406.7
1996-04-01  402.9
1996-07-01  409.1
1996-10-01  413.5
1997-01-01  427.5
1997-04-01  441.7
1997-07-01  417.0
1997-10-01  426.6
1998-01-01  414.3
1998-04-01  433.3
1998-07-01  440.4
1998-10-01  457.7
1999-01-01  445.7
1999-04-01  443.0
1999-07-01  458.5
1999-10-01  457.0
2000-01-01  470.5
2000-04-01  469.9
2000-07-01  454.7
2000-10-01  502.7
2001-01-01  474.9
2001-04-01  477.8
2001-07-01  475.7
2001-10-01  480.1
2002-01-01  493.2
2002-04-01  493.0
2002-07-01  487.3
2002-10-01  483.8
2003-01-01  498.0
2003-04-01  497.9
2003-07-01  504.9
2003-10-01  512.8
2004-01-01  499.2
2004-04-01  515.2
2004-07-01  520.3
2004-10-01  532.2
2005-01-01  518.7
2005-04-01  526.6
2005-07-01  538.6
2005-10-01  529.9
2006-01-01  544.3
2006-04-01  542.7
2006-07-01  545.6
2006-10-01  538.9
2007-01-01  562.3
2007-04-01  562.8
2007-07-01  563.8
2007-10-01  566.9
2008-01-01  576.3
2008-04-01  567.7
2008-07-01  565.1
2008-10-01  568.4
2009-01-01  569.4
2009-04-01  583.7
2009-07-01  588.0
2009-10-01  602.4
2010-01-01  587.5
2010-04-01  601.3
2010-07-01  619.2
2010-10-01  618.8
2011-01-01  613.3
2011-04-01  628.5
2011-07-01  640.0
2011-10-01  622.5
2012-01-01  651.9
2012-04-01  649.8
2012-07-01  650.2
2012-10-01  673.9
2013-01-01  672.8
2013-04-01  667.8
2013-07-01  665.1
2013-10-01  663.5
2014-01-01  691.1
2014-04-01  685.9
2014-07-01  687.2
2014-10-01  707.5
2015-01-01  688.5
2015-04-01  708.6
2015-07-01  691.9
2015-10-01  720.2
2016-01-01  713.1
2016-04-01  721.4
2016-07-01  742.4
2016-10-01  725.9
2017-01-01  742.9
2017-04-01  741.2
2017-07-01  770.6
2017-10-01  746.9
2018-01-01  767.6
