Title:               Average Weekly Wages for Employees in Federal Government Establishments in Durham, NC (MSA)
Series ID:           ENUC205040110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   625
1990-04-01   561
1990-07-01   626
1990-10-01   658
1991-01-01   688
1991-04-01   674
1991-07-01   718
1991-10-01   710
1992-01-01   768
1992-04-01   704
1992-07-01   761
1992-10-01   735
1993-01-01   791
1993-04-01   742
1993-07-01   808
1993-10-01   777
1994-01-01   836
1994-04-01   821
1994-07-01   853
1994-10-01   814
1995-01-01   847
1995-04-01   874
1995-07-01   895
1995-10-01   789
1996-01-01   964
1996-04-01   908
1996-07-01   853
1996-10-01   887
1997-01-01   863
1997-04-01   848
1997-07-01   899
1997-10-01   969
1998-01-01   914
1998-04-01   994
1998-07-01   934
1998-10-01   900
1999-01-01   937
1999-04-01  1015
1999-07-01   985
1999-10-01   957
2000-01-01  1024
2000-04-01   903
2000-07-01   958
2000-10-01  1002
2001-01-01  1056
2001-04-01   995
2001-07-01  1064
2001-10-01  1068
2002-01-01  1097
2002-04-01  1134
2002-07-01  1188
2002-10-01  1140
2003-01-01  1210
2003-04-01  1271
2003-07-01  1245
2003-10-01  1216
2004-01-01  1269
2004-04-01  1258
2004-07-01  1313
2004-10-01  1299
2005-01-01  1329
2005-04-01  1337
2005-07-01  1331
2005-10-01  1296
2006-01-01  1384
2006-04-01  1464
2006-07-01  1551
2006-10-01  1349
2007-01-01  1555
2007-04-01  1401
2007-07-01  1506
2007-10-01  1379
2008-01-01  1363
2008-04-01  1043
2008-07-01  1083
2008-10-01  1111
2009-01-01  1195
2009-04-01  1172
2009-07-01  1199
2009-10-01  1603
2010-01-01  1425
2010-04-01  1504
2010-07-01  1462
2010-10-01  1643
2011-01-01  1530
2011-04-01  1640
2011-07-01  1622
2011-10-01  1570
2012-01-01  1590
2012-04-01  1521
2012-07-01  1620
2012-10-01  1541
2013-01-01  1569
2013-04-01  1494
2013-07-01  1593
2013-10-01  1525
2014-01-01  1576
2014-04-01  1479
2014-07-01  1711
2014-10-01  1477
2015-01-01  1676
2015-04-01  1512
2015-07-01  1737
2015-10-01  1565
2016-01-01  1629
2016-04-01  1537
2016-07-01  1782
2016-10-01  1703
2017-01-01  1655
2017-04-01  1718
2017-07-01  1648
2017-10-01  1766
2018-01-01  1701
