Title:               Equifax Subprime Credit Population for Rockingham County, NC
Series ID:           EQFXSUBPRIME037157
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:41 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.629737609329446
1999-04-01  40.230515916575190
1999-07-01  40.549673349853570
1999-10-01  40.351892580159740
2000-01-01  40.458553791887130
2000-04-01  40.253946465339740
2000-07-01  40.260623229461760
2000-10-01  38.508914100486220
2001-01-01  38.917748917748916
2001-04-01  38.372591006423980
2001-07-01  38.475537950968850
2001-10-01  38.387297633872976
2002-01-01  38.383110195674560
2002-04-01  38.283323127168810
2002-07-01  37.703272435253965
2002-10-01  37.555709616717834
2003-01-01  37.355173791450255
2003-04-01  36.772486772486770
2003-07-01  37.386514332347240
2003-10-01  37.336918633602230
2004-01-01  37.996755879967560
2004-04-01  36.736716891356070
2004-07-01  36.700402869214900
2004-10-01  36.814090777121840
2005-01-01  36.308770563613360
2005-04-01  35.801519376863160
2005-07-01  36.315021876519204
2005-10-01  36.227224008574495
2006-01-01  36.315177359953470
2006-04-01  36.360955470362725
2006-07-01  36.758661186142100
2006-10-01  36.774065234685760
2007-01-01  36.720088700735815
2007-04-01  36.010643539962550
2007-07-01  36.208436724565760
2007-10-01  36.815767973856210
2008-01-01  38.381765150696770
2008-04-01  38.159912376779850
2008-07-01  37.981611208406306
2008-10-01  38.171690694626480
2009-01-01  38.103580422643160
2009-04-01  37.719588995691080
2009-07-01  37.545807884508605
2009-10-01  37.432975871313670
2010-01-01  37.428667338032895
2010-04-01  36.677890011223350
2010-07-01  36.904495638559610
2010-10-01  37.096233374315410
2011-01-01  36.300448430493276
2011-04-01  36.177359758145780
2011-07-01  36.518923746790220
2011-10-01  37.181072271552210
2012-01-01  36.625282167042890
2012-04-01  36.164911088458490
2012-07-01  36.213151927437640
2012-10-01  36.620829576194765
2013-01-01  35.057660626029650
2013-04-01  34.431364078194186
2013-07-01  34.521135389013680
2013-10-01  34.338085539714870
2014-01-01  33.657189609327060
2014-04-01  33.795125897461820
2014-07-01  33.699486042527460
2014-10-01  34.656031904287140
2015-01-01  34.598525602709700
2015-04-01  34.259532958912210
2015-07-01  34.052569635151045
2015-10-01  34.295184246441800
2016-01-01  33.968160953218090
2016-04-01  33.253128007699715
2016-07-01  32.792362768496420
2016-10-01  32.556163866339440
2017-01-01  31.929824561403507
2017-04-01  31.858407079646017
2017-07-01  32.175241004104230
2017-10-01  32.313317936874520
2018-01-01  31.398493335908828
2018-04-01  30.969060128429653
2018-07-01  31.364522417153996
