Title:               Equifax Subprime Credit Population for Columbus County, NC
Series ID:           EQFXSUBPRIME037047
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  36.965180521649750
1999-04-01  36.790090921069970
1999-07-01  35.949228879486824
1999-10-01  35.993828026371160
2000-01-01  36.460824307216210
2000-04-01  36.507475685876030
2000-07-01  37.430327283121336
2000-10-01  35.932487097224160
2001-01-01  37.690189827561220
2001-04-01  36.937321937321940
2001-07-01  37.987012987012990
2001-10-01  37.735575529138885
2002-01-01  38.470640437805060
2002-04-01  40.321563682219420
2002-07-01  40.737808739708676
2002-10-01  40.278677900194424
2003-01-01  40.800000000000000
2003-04-01  40.416735571357700
2003-07-01  41.669443518827060
2003-10-01  41.154163231657050
2004-01-01  43.333333333333336
2004-04-01  42.595947949267010
2004-07-01  42.420256494574154
2004-10-01  42.616451932606545
2005-01-01  42.828718288840990
2005-04-01  42.596514090242710
2005-07-01  43.241919686581780
2005-10-01  43.896752706078270
2006-01-01  44.130831811389670
2006-04-01  44.153693275919174
2006-07-01  43.670572701765970
2006-10-01  44.683737493640834
2007-01-01  44.300562276367360
2007-04-01  43.455931080185560
2007-07-01  43.817024128686330
2007-10-01  44.427001569858720
2008-01-01  46.365165389646800
2008-04-01  46.945399007254680
2008-07-01  46.021751574127070
2008-10-01  45.605745605745604
2009-01-01  45.759444872783350
2009-04-01  45.196078431372550
2009-07-01  44.405320813771520
2009-10-01  45.503169572107765
2010-01-01  45.123667806153230
2010-04-01  44.066068515497555
2010-07-01  43.857868020304570
2010-10-01  45.092838196286470
2011-01-01  44.922194922194926
2011-04-01  44.485294117647060
2011-07-01  44.394527261588730
2011-10-01  44.979423868312760
2012-01-01  44.908076843627350
2012-04-01  45.177873740489410
2012-07-01  44.758563763929020
2012-10-01  44.993819530284300
2013-01-01  43.986459577857430
2013-04-01  43.029702970297030
2013-07-01  42.674332344213650
2013-10-01  42.710997442455245
2014-01-01  42.048566733613290
2014-04-01  41.444241316270570
2014-07-01  41.775599128540300
2014-10-01  41.490125673249550
2015-01-01  40.654623502056870
2015-04-01  40.370044052863435
2015-07-01  40.657987332864180
2015-10-01  41.306638566912540
2016-01-01  40.860777138874370
2016-04-01  40.576889046186515
2016-07-01  39.934221914488490
2016-10-01  39.479986315429360
2017-01-01  39.577296744503150
2017-04-01  39.527371642298530
2017-07-01  39.701082288266620
2017-10-01  40.441932168550880
2018-01-01  39.768136307746350
2018-04-01  40.017590149516266
2018-07-01  39.975782736550770
