Title:               Equifax Subprime Credit Population for Mitchell County, NC
Series ID:           EQFXSUBPRIME037121
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  34.622641509433960
1999-04-01  34.805364736669940
1999-07-01  33.895921237693386
1999-10-01  33.568627450980394
2000-01-01  32.383745286971090
2000-04-01  31.445138269402317
2000-07-01  32.575068243858055
2000-10-01  28.443877551020407
2001-01-01  27.530707327403643
2001-04-01  25.891410048622365
2001-07-01  26.343847179031542
2001-10-01  26.395242451967064
2002-01-01  27.107591988821610
2002-04-01  27.500000000000004
2002-07-01  28.061716489874637
2002-10-01  28.608247422680410
2003-01-01  29.089979550102253
2003-04-01  28.943258719416970
2003-07-01  29.072812991094814
2003-10-01  29.142556549184640
2004-01-01  29.668508287292816
2004-04-01  29.014084507042252
2004-07-01  29.005975013579576
2004-10-01  28.392370572207080
2005-01-01  29.344883595018950
2005-04-01  28.716036228023440
2005-07-01  28.633171258779040
2005-10-01  29.850746268656714
2006-01-01  29.662337662337663
2006-04-01  30.261054874800212
2006-07-01  30.802839978154010
2006-10-01  30.246913580246915
2007-01-01  29.971346704871060
2007-04-01  29.729729729729730
2007-07-01  29.913043478260870
2007-10-01  29.759036144578317
2008-01-01  30.432098765432098
2008-04-01  30.242966751918160
2008-07-01  30.440331844288448
2008-10-01  30.714745653573730
2009-01-01  29.843953185955783
2009-04-01  28.459530026109658
2009-07-01  28.844884488448848
2009-10-01  30.026631158455390
2010-01-01  30.815508021390375
2010-04-01  29.227696404793610
2010-07-01  28.371161548731642
2010-10-01  29.490616621983910
2011-01-01  28.309572301425660
2011-04-01  28.503075871496925
2011-07-01  27.652292950034223
2011-10-01  28.791055206149547
2012-01-01  28.551336146272853
2012-04-01  27.285415212840196
2012-07-01  27.272727272727270
2012-10-01  27.789327789327790
2013-01-01  27.260458839406210
2013-04-01  27.803583278035830
2013-07-01  28.598130841121495
2013-10-01  27.687687687687690
2014-01-01  28.397318708104812
2014-04-01  27.479469361970942
2014-07-01  27.967681789931635
2014-10-01  28.790669122160832
2015-01-01  28.536436007348440
2015-04-01  28.535980148883370
2015-07-01  29.212792127921280
2015-10-01  27.908415841584162
2016-01-01  26.754649070185966
2016-04-01  26.923076923076923
2016-07-01  26.686567164179102
2016-10-01  25.760286225402506
2017-01-01  27.074500302846760
2017-04-01  25.853658536585368
2017-07-01  26.228501228501226
2017-10-01  27.372933251684017
2018-01-01  26.699629171817058
2018-04-01  26.244622003687766
2018-07-01  25.637834474175480
