Title:               Total Quarterly Wages in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246630010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01  1574476959
1990-04-01  1579426261
1990-07-01  1533191390
1990-10-01  1677747759
1991-01-01  1533407294
1991-04-01  1578047868
1991-07-01  1564922967
1991-10-01  1697713267
1992-01-01  1640792967
1992-04-01  1676910918
1992-07-01  1717879391
1992-10-01  1971966340
1993-01-01  1684813571
1993-04-01  1791730253
1993-07-01  1808852305
1993-10-01  2045002005
1994-01-01  1842615807
1994-04-01  1902022588
1994-07-01  1964227296
1994-10-01  2134077958
1995-01-01  2053400124
1995-04-01  2066262137
1995-07-01  2036485637
1995-10-01  2276748035
1996-01-01  2157639413
1996-04-01  2205252180
1996-07-01  2144685628
1996-10-01  2423280977
1997-01-01  2271144675
1997-04-01  2317697053
1997-07-01  2292554757
1997-10-01  2566776577
1998-01-01  2383899229
1998-04-01  2468306355
1998-07-01  2455827539
1998-10-01  2864360766
1999-01-01  2529427277
1999-04-01  2673410403
1999-07-01  2670392929
1999-10-01  2953223764
2000-01-01  2745694360
2000-04-01  2765494438
2000-07-01  2752914849
2000-10-01  2954460783
2001-01-01  2831740857
2001-04-01  2779979365
2001-07-01  2738514394
2001-10-01  2914956985
2002-01-01  2785012726
2002-04-01  2771591713
2002-07-01  2740936799
2002-10-01  2927935584
2003-01-01  2824461361
2003-04-01  2759593990
2003-07-01  2753764571
2003-10-01  3019881249
2004-01-01  2823036602
2004-04-01  2866553051
2004-07-01  2875366581
2004-10-01  3200648535
2005-01-01  2928108060
2005-04-01  2982807367
2005-07-01  3068266693
2005-10-01  3252617290
2006-01-01  3125260610
2006-04-01  3135146114
2006-07-01  3083779639
2006-10-01  3432758420
2007-01-01  3351521429
2007-04-01  3304543230
2007-07-01  3220111017
2007-10-01  3541741520
2008-01-01  3385383115
2008-04-01  3314400784
2008-07-01  3297347224
2008-10-01  3488781779
2009-01-01  3132078329
2009-04-01  3069027824
2009-07-01  3018383333
2009-10-01  3377947423
2010-01-01  3062748079
2010-04-01  3113196396
2010-07-01  3141767146
2010-10-01  3461113418
2011-01-01  3230287525
2011-04-01  3217776267
2011-07-01  3308385964
2011-10-01  3419546386
2012-01-01  3475605778
2012-04-01  3251075366
2012-07-01  3297956849
2012-10-01  3615943987
2013-01-01  3558723340
2013-04-01  3377407895
2013-07-01  3350595342
2013-10-01  3630228090
2014-01-01  3630107614
2014-04-01  3406909340
2014-07-01  3505036612
2014-10-01  3804962196
2015-01-01  3754276450
2015-04-01  3580534517
2015-07-01  3641558096
2015-10-01  4053667631
2016-01-01  3702897404
2016-04-01  3696199487
2016-07-01  3795992441
2016-10-01  3958988968
2017-01-01  3984087461
2017-04-01  3848012976
2017-07-01  3807461158
2017-10-01  4126082164
2018-01-01  4083307789
