Title:               Average Weekly Wages for Employees in Total Covered Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   343
1990-04-01   352
1990-07-01   344
1990-10-01   378
1991-01-01   345
1991-04-01   365
1991-07-01   356
1991-10-01   392
1992-01-01   366
1992-04-01   377
1992-07-01   368
1992-10-01   422
1993-01-01   368
1993-04-01   386
1993-07-01   394
1993-10-01   432
1994-01-01   386
1994-04-01   401
1994-07-01   404
1994-10-01   453
1995-01-01   410
1995-04-01   416
1995-07-01   400
1995-10-01   445
1996-01-01   413
1996-04-01   431
1996-07-01   417
1996-10-01   469
1997-01-01   437
1997-04-01   451
1997-07-01   435
1997-10-01   491
1998-01-01   453
1998-04-01   474
1998-07-01   467
1998-10-01   529
1999-01-01   468
1999-04-01   485
1999-07-01   498
1999-10-01   546
2000-01-01   509
2000-04-01   512
2000-07-01   499
2000-10-01   547
2001-01-01   519
2001-04-01   514
2001-07-01   507
2001-10-01   562
2002-01-01   525
2002-04-01   537
2002-07-01   521
2002-10-01   571
2003-01-01   532
2003-04-01   536
2003-07-01   529
2003-10-01   594
2004-01-01   539
2004-04-01   552
2004-07-01   567
2004-10-01   616
2005-01-01   554
2005-04-01   568
2005-07-01   584
2005-10-01   609
2006-01-01   602
2006-04-01   588
2006-07-01   583
2006-10-01   636
2007-01-01   617
2007-04-01   609
2007-07-01   606
2007-10-01   657
2008-01-01   626
2008-04-01   626
2008-07-01   610
2008-10-01   662
2009-01-01   599
2009-04-01   606
2009-07-01   609
2009-10-01   682
2010-01-01   608
2010-04-01   631
2010-07-01   639
2010-10-01   689
2011-01-01   644
2011-04-01   639
2011-07-01   660
2011-10-01   686
2012-01-01   662
2012-04-01   651
2012-07-01   648
2012-10-01   695
2013-01-01   668
2013-04-01   658
2013-07-01   660
2013-10-01   694
2014-01-01   677
2014-04-01   674
2014-07-01   674
2014-10-01   726
2015-01-01   704
2015-04-01   696
2015-07-01   703
2015-10-01   782
2016-01-01   704
2016-04-01   715
2016-07-01   739
2016-10-01   772
2017-01-01   779
2017-04-01   743
2017-07-01   735
2017-10-01   792
2018-01-01   800
