Title:               Number of Private Establishments for All Industries in Craven County, NC
Series ID:           ENU3704920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1523
1990-04-01  1531
1990-07-01  1540
1990-10-01  1555
1991-01-01  1602
1991-04-01  1611
1991-07-01  1633
1991-10-01  1620
1992-01-01  1615
1992-04-01  1625
1992-07-01  1640
1992-10-01  1646
1993-01-01  1640
1993-04-01  1643
1993-07-01  1676
1993-10-01  1697
1994-01-01  1685
1994-04-01  1695
1994-07-01  1739
1994-10-01  1760
1995-01-01  1763
1995-04-01  1780
1995-07-01  1795
1995-10-01  1816
1996-01-01  1809
1996-04-01  1822
1996-07-01  1846
1996-10-01  1882
1997-01-01  1908
1997-04-01  1925
1997-07-01  1957
1997-10-01  1952
1998-01-01  1944
1998-04-01  1959
1998-07-01  1959
1998-10-01  1970
1999-01-01  1984
1999-04-01  2028
1999-07-01  2045
1999-10-01  2073
2000-01-01  2054
2000-04-01  2080
2000-07-01  2080
2000-10-01  2088
2001-01-01  2055
2001-04-01  2076
2001-07-01  2057
2001-10-01  2075
2002-01-01  2123
2002-04-01  2134
2002-07-01  2157
2002-10-01  2172
2003-01-01  2063
2003-04-01  2058
2003-07-01  2067
2003-10-01  2082
2004-01-01  2085
2004-04-01  2098
2004-07-01  2117
2004-10-01  2150
2005-01-01  2154
2005-04-01  2155
2005-07-01  2192
2005-10-01  2209
2006-01-01  2213
2006-04-01  2221
2006-07-01  2248
2006-10-01  2267
2007-01-01  2352
2007-04-01  2352
2007-07-01  2385
2007-10-01  2410
2008-01-01  2416
2008-04-01  2406
2008-07-01  2415
2008-10-01  2425
2009-01-01  2395
2009-04-01  2387
2009-07-01  2376
2009-10-01  2376
2010-01-01  2371
2010-04-01  2358
2010-07-01  2347
2010-10-01  2338
2011-01-01  2251
2011-04-01  2237
2011-07-01  2236
2011-10-01  2241
2012-01-01  2243
2012-04-01  2258
2012-07-01  2248
2012-10-01  2251
2013-01-01  2191
2013-04-01  2196
2013-07-01  2180
2013-10-01  2204
2014-01-01  2198
2014-04-01  2193
2014-07-01  2169
2014-10-01  2154
2015-01-01  2187
2015-04-01  2207
2015-07-01  2195
2015-10-01  2218
2016-01-01  2200
2016-04-01  2208
2016-07-01  2191
2016-10-01  2201
2017-01-01  2211
2017-04-01  2229
2017-07-01  2241
2017-10-01  2257
2018-01-01  2230
