Title:               Equifax Subprime Credit Population for Robeson County, NC
Series ID:           EQFXSUBPRIME037155
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  45.077149155033060
1999-04-01  44.927616311194605
1999-07-01  44.719702256338685
1999-10-01  44.713922825692514
2000-01-01  44.803651825912960
2000-04-01  43.960985496231550
2000-07-01  43.921001320837790
2000-10-01  42.740659608129490
2001-01-01  43.203609701071635
2001-04-01  42.564810746343600
2001-07-01  42.978255242039864
2001-10-01  42.939202271847165
2002-01-01  43.590245174752220
2002-04-01  43.861934223380004
2002-07-01  43.960748155953630
2002-10-01  44.179006252056595
2003-01-01  44.749101557300680
2003-04-01  45.297046586181025
2003-07-01  46.714019722777740
2003-10-01  45.289015427398530
2004-01-01  47.187457021042500
2004-04-01  45.747204337512706
2004-07-01  45.792129162462160
2004-10-01  45.544093178036604
2005-01-01  44.978282659538930
2005-04-01  44.132703942557010
2005-07-01  44.874791318864770
2005-10-01  44.812347470483470
2006-01-01  45.439838220424670
2006-04-01  45.018007202881160
2006-07-01  44.982698961937714
2006-10-01  45.258235334571210
2007-01-01  44.669736751666780
2007-04-01  44.100709789741530
2007-07-01  44.399074452157340
2007-10-01  45.223387444332715
2008-01-01  50.795853399722470
2008-04-01  51.495567155522416
2008-07-01  51.201863095733180
2008-10-01  50.886834873844620
2009-01-01  51.646300067888660
2009-04-01  51.487765367891550
2009-07-01  50.592144500298200
2009-10-01  50.770679910943650
2010-01-01  51.107486263736270
2010-04-01  50.632244467860910
2010-07-01  50.501351469177780
2010-10-01  51.066967383761270
2011-01-01  50.679477192071320
2011-04-01  50.833478034380974
2011-07-01  50.681127982646420
2011-10-01  50.682210708117445
2012-01-01  50.366032210834554
2012-04-01  50.250043110881180
2012-07-01  50.256454837868380
2012-10-01  50.622621930127984
2013-01-01  47.932848910047610
2013-04-01  46.913580246913575
2013-07-01  46.501094587453764
2013-10-01  46.524427020506636
2014-01-01  45.604758757435560
2014-04-01  44.936298855538760
2014-07-01  45.305801657616460
2014-10-01  45.559709388446070
2015-01-01  44.756411147404265
2015-04-01  44.492804492804495
2015-07-01  44.839267694969010
2015-10-01  45.256902674106820
2016-01-01  45.505577021214550
2016-04-01  44.903197418597830
2016-07-01  44.029164012175265
2016-10-01  43.429734662361360
2017-01-01  43.040820628117760
2017-04-01  42.593240501014620
2017-07-01  42.858151023288634
2017-10-01  43.085714285714290
2018-01-01  42.594586833225650
2018-04-01  42.064404830362280
2018-07-01  42.445172315579605
