Title:               Equifax Subprime Credit Population for Camden County, NC
Series ID:           EQFXSUBPRIME037029
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  36.256323777403040
1999-04-01  36.241610738255034
1999-07-01  33.333333333333330
1999-10-01  33.333333333333330
2000-01-01  34.224598930481280
2000-04-01  34.649910233393180
2000-07-01  34.819897084048030
2000-10-01  32.680722891566270
2001-01-01  35.072463768115940
2001-04-01  34.578146611341630
2001-07-01  35.090152565880720
2001-10-01  35.674157303370784
2002-01-01  37.331536388140165
2002-04-01  34.569536423841060
2002-07-01  35.301668806161740
2002-10-01  34.366925064599485
2003-01-01  34.754521963824290
2003-04-01  35.487959442332070
2003-07-01  33.865030674846620
2003-10-01  33.743842364532014
2004-01-01  32.713754646840150
2004-04-01  31.695331695331696
2004-07-01  31.250000000000000
2004-10-01  32.979976442873970
2005-01-01  30.696576151121608
2005-04-01  32.915717539863320
2005-07-01  32.086167800453520
2005-10-01  31.900452488687780
2006-01-01  31.753031973539140
2006-04-01  31.584699453551913
2006-07-01  30.567226890756306
2006-10-01  30.967741935483872
2007-01-01  29.778247096092926
2007-04-01  30.334728033472803
2007-07-01  31.303418803418804
2007-10-01  30.914826498422716
2008-01-01  31.527627302275192
2008-04-01  32.115171650055366
2008-07-01  32.079646017699110
2008-10-01  33.188248095756260
2009-01-01  32.264957264957270
2009-04-01  33.622559652928416
2009-07-01  32.615715823466090
2009-10-01  33.689839572192510
2010-01-01  33.055265901981230
2010-04-01  33.887733887733890
2010-07-01  33.538461538461540
2010-10-01  34.006054490413725
2011-01-01  34.689725330620550
2011-04-01  32.515337423312886
2011-07-01  33.366834170854270
2011-10-01  34.381338742393510
2012-01-01  33.801404212637910
2012-04-01  32.553407934893190
2012-07-01  33.665338645418320
2012-10-01  33.133732534930140
2013-01-01  32.851637764932560
2013-04-01  31.172545281220210
2013-07-01  31.382978723404253
2013-10-01  31.504424778761063
2014-01-01  30.173199635369190
2014-04-01  31.520737327188940
2014-07-01  31.086142322097377
2014-10-01  30.945821854912765
2015-01-01  29.316546762589930
2015-04-01  29.629629629629626
2015-07-01  29.454545454545457
2015-10-01  30.107526881720432
2016-01-01  29.125338142470696
2016-04-01  29.800724637681160
2016-07-01  29.032258064516130
2016-10-01  28.912466843501328
2017-01-01  27.022222222222220
2017-04-01  26.713532513181022
2017-07-01  26.660914581535806
2017-10-01  28.083989501312335
2018-01-01  27.522123893805310
2018-04-01  27.115716753022450
2018-07-01  27.959697732997480
