Title:               Equifax Subprime Credit Population for Gaston County, NC
Series ID:           EQFXSUBPRIME037071
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.394515069275820
1999-04-01  38.846839897796850
1999-07-01  36.685925583545185
1999-10-01  37.368842045828830
2000-01-01  37.918620624319075
2000-04-01  38.305752191645960
2000-07-01  39.385513693869036
2000-10-01  37.943465072317230
2001-01-01  38.165602867884935
2001-04-01  37.942358380503826
2001-07-01  36.996002780674320
2001-10-01  36.889370932754880
2002-01-01  37.686437738466880
2002-04-01  37.108805624624880
2002-07-01  37.280776434530910
2002-10-01  37.355008043349420
2003-01-01  37.772201429057500
2003-04-01  37.722450746914916
2003-07-01  38.568371402367130
2003-10-01  38.466531089091774
2004-01-01  39.419105369540380
2004-04-01  38.675363333917000
2004-07-01  37.656243334328740
2004-10-01  38.179866924232670
2005-01-01  37.722315436241610
2005-04-01  37.649410863924450
2005-07-01  35.570990806945865
2005-10-01  36.432191865496360
2006-01-01  36.590155885602060
2006-04-01  36.232537178909420
2006-07-01  36.483993933680370
2006-10-01  36.562525897074664
2007-01-01  36.612090155397240
2007-04-01  35.866531850353894
2007-07-01  36.469494198035015
2007-10-01  37.302369424568320
2008-01-01  39.880813818147956
2008-04-01  39.558109954303480
2008-07-01  39.491906054084400
2008-10-01  40.089243776420860
2009-01-01  40.285290316404190
2009-04-01  40.051106504025840
2009-07-01  39.866839105235420
2009-10-01  40.003883872220605
2010-01-01  39.708383961117860
2010-04-01  39.123478935375964
2010-07-01  39.054738365083190
2010-10-01  39.092183496882100
2011-01-01  38.848192771084340
2011-04-01  38.279362010633160
2011-07-01  38.330106485963210
2011-10-01  38.833309168237390
2012-01-01  38.278716297981510
2012-04-01  37.755894052585620
2012-07-01  37.898058252427184
2012-10-01  38.181291070738304
2013-01-01  36.634811653367970
2013-04-01  35.809463379260330
2013-07-01  35.474495598332000
2013-10-01  35.335763947770054
2014-01-01  34.503713706954755
2014-04-01  34.346517444571624
2014-07-01  34.362901868372326
2014-10-01  34.977801750964690
2015-01-01  34.199958600703790
2015-04-01  34.053251999010800
2015-07-01  34.150951148362715
2015-10-01  34.325509623974660
2016-01-01  33.597107852982525
2016-04-01  33.278576866060340
2016-07-01  33.431650149441560
2016-10-01  33.947254986480665
2017-01-01  33.352883675464330
2017-04-01  33.001703313719420
2017-07-01  33.090769819992340
2017-10-01  33.300099700897306
2018-01-01  32.649225103575260
2018-04-01  32.243893202045065
2018-07-01  32.534967664310420
