Title:               Equifax Subprime Credit Population for Hertford County, NC
Series ID:           EQFXSUBPRIME037091
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.321057917643120
1999-04-01  44.259451959764135
1999-07-01  43.510891451583376
1999-10-01  43.107956667911840
2000-01-01  42.918106076000810
2000-04-01  41.691394658753710
2000-07-01  40.380313199105146
2000-10-01  36.763485477178430
2001-01-01  37.106783650759680
2001-04-01  36.171588704462174
2001-07-01  35.799907791609040
2001-10-01  36.206896551724135
2002-01-01  35.983763132760270
2002-04-01  35.994013469693190
2002-07-01  35.469774217042970
2002-10-01  35.221550855991940
2003-01-01  35.300127713920816
2003-04-01  36.066003143006810
2003-07-01  36.248654467169000
2003-10-01  35.395189003436430
2004-01-01  38.319130179253605
2004-04-01  36.350574712643680
2004-07-01  36.427054898392480
2004-10-01  36.073875484063150
2005-01-01  36.080311657177106
2005-04-01  37.682539682539684
2005-07-01  38.581372224063635
2005-10-01  40.147783251231530
2006-01-01  40.056617126680820
2006-04-01  40.242112986060164
2006-07-01  41.099476439790580
2006-10-01  41.227085671530120
2007-01-01  41.022727272727270
2007-04-01  39.401869158878505
2007-07-01  41.040029928918820
2007-10-01  42.431561996779390
2008-01-01  44.917463075586450
2008-04-01  45.515695067264570
2008-07-01  44.727435210008935
2008-10-01  45.597484276729560
2009-01-01  45.716903344021986
2009-04-01  44.858073522568640
2009-07-01  45.115207373271886
2009-10-01  45.955882352941174
2010-01-01  46.068965517241380
2010-04-01  45.812124016658956
2010-07-01  45.258215962441320
2010-10-01  45.869866174434705
2011-01-01  45.063172671970050
2011-04-01  44.700894959962320
2011-07-01  44.681861348528010
2011-10-01  45.706106870229010
2012-01-01  43.600764087870104
2012-04-01  44.924098671726750
2012-07-01  45.467765390208434
2012-10-01  46.693187468920930
2013-01-01  45.108433734939760
2013-04-01  44.954567192730750
2013-07-01  44.771389769126300
2013-10-01  44.385733157199470
2014-01-01  43.570807993049520
2014-04-01  42.736185383244205
2014-07-01  41.903914590747334
2014-10-01  43.245653143111910
2015-01-01  42.230902777777780
2015-04-01  41.959578207381370
2015-07-01  42.105263157894730
2015-10-01  42.806394316163410
2016-01-01  42.403932082216265
2016-04-01  41.666666666666670
2016-07-01  39.854139854139850
2016-10-01  40.513251998317210
2017-01-01  40.085836909871240
2017-04-01  39.030837004405290
2017-07-01  39.350822587816810
2017-10-01  39.768683274021356
2018-01-01  39.919354838709670
2018-04-01  39.083557951482476
2018-07-01  39.250225835591690
