Title:               Number of Private Establishments for All Industries in Iredell County, NC
Series ID:           ENU3709720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1974
1990-04-01  2015
1990-07-01  2038
1990-10-01  2093
1991-01-01  2126
1991-04-01  2141
1991-07-01  2162
1991-10-01  2164
1992-01-01  2153
1992-04-01  2163
1992-07-01  2189
1992-10-01  2201
1993-01-01  2240
1993-04-01  2246
1993-07-01  2269
1993-10-01  2304
1994-01-01  2306
1994-04-01  2350
1994-07-01  2386
1994-10-01  2427
1995-01-01  2444
1995-04-01  2458
1995-07-01  2517
1995-10-01  2569
1996-01-01  2591
1996-04-01  2623
1996-07-01  2650
1996-10-01  2686
1997-01-01  2699
1997-04-01  2744
1997-07-01  2810
1997-10-01  2819
1998-01-01  2873
1998-04-01  2924
1998-07-01  2961
1998-10-01  2998
1999-01-01  3076
1999-04-01  3210
1999-07-01  3283
1999-10-01  3377
2000-01-01  3386
2000-04-01  3415
2000-07-01  3428
2000-10-01  3460
2001-01-01  3415
2001-04-01  3490
2001-07-01  3496
2001-10-01  3524
2002-01-01  3583
2002-04-01  3623
2002-07-01  3657
2002-10-01  3685
2003-01-01  3564
2003-04-01  3575
2003-07-01  3592
2003-10-01  3633
2004-01-01  3666
2004-04-01  3714
2004-07-01  3742
2004-10-01  3801
2005-01-01  3813
2005-04-01  3877
2005-07-01  3918
2005-10-01  3967
2006-01-01  4048
2006-04-01  4110
2006-07-01  4194
2006-10-01  4250
2007-01-01  4523
2007-04-01  4553
2007-07-01  4610
2007-10-01  4694
2008-01-01  4750
2008-04-01  4751
2008-07-01  4768
2008-10-01  4802
2009-01-01  4756
2009-04-01  4705
2009-07-01  4656
2009-10-01  4672
2010-01-01  4642
2010-04-01  4637
2010-07-01  4661
2010-10-01  4688
2011-01-01  4681
2011-04-01  4708
2011-07-01  4733
2011-10-01  4811
2012-01-01  4751
2012-04-01  4794
2012-07-01  4796
2012-10-01  4811
2013-01-01  4760
2013-04-01  4781
2013-07-01  4755
2013-10-01  4785
2014-01-01  4867
2014-04-01  4869
2014-07-01  4912
2014-10-01  4905
2015-01-01  4994
2015-04-01  5031
2015-07-01  5073
2015-10-01  5142
2016-01-01  5108
2016-04-01  5130
2016-07-01  5115
2016-10-01  5154
2017-01-01  5110
2017-04-01  5166
2017-07-01  5215
2017-10-01  5252
2018-01-01  5288
