Title:               Equifax Subprime Credit Population for Bladen County, NC
Series ID:           EQFXSUBPRIME037017
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.736131072147170
1999-04-01  42.215568862275450
1999-07-01  41.913368650669995
1999-10-01  42.671854734111540
2000-01-01  42.096774193548384
2000-04-01  41.461038961038960
2000-07-01  42.829012143091570
2000-10-01  40.056373316630130
2001-01-01  41.897233201581030
2001-04-01  41.540930979133230
2001-07-01  41.157240928407980
2001-10-01  41.798259748630360
2002-01-01  42.355889724310780
2002-04-01  42.436974789915965
2002-07-01  42.276684940341820
2002-10-01  42.656000000000000
2003-01-01  43.458401305057100
2003-04-01  44.005227049983670
2003-07-01  43.118666230794375
2003-10-01  43.162256933375836
2004-01-01  44.736842105263160
2004-04-01  42.985723153320920
2004-07-01  43.710691823899374
2004-10-01  43.916171410697530
2005-01-01  43.730602110490380
2005-04-01  43.924665856622110
2005-07-01  44.069343065693430
2005-10-01  44.407396180660810
2006-01-01  44.301139772045590
2006-04-01  43.645083932853716
2006-07-01  43.843395098625220
2006-10-01  43.486127864897470
2007-01-01  44.152311876699905
2007-04-01  42.951608055305080
2007-07-01  43.802163833075740
2007-10-01  45.042125729099155
2008-01-01  47.670003451846740
2008-04-01  47.620701632511285
2008-07-01  46.977547495682210
2008-10-01  47.560137457044670
2009-01-01  47.105997210599720
2009-04-01  45.941217634709590
2009-07-01  45.055710306406690
2009-10-01  46.108202443280970
2010-01-01  46.048472075869334
2010-04-01  44.966442953020135
2010-07-01  44.831261101243340
2010-10-01  45.098730606488010
2011-01-01  45.165945165945170
2011-04-01  44.718940207662010
2011-07-01  45.007082152974505
2011-10-01  45.718329794762916
2012-01-01  45.399858457183290
2012-04-01  46.028368794326240
2012-07-01  45.448054266333460
2012-10-01  45.382963493199710
2013-01-01  43.382605706428320
2013-04-01  42.472752043596730
2013-07-01  42.984126984126990
2013-10-01  43.413552881570620
2014-01-01  43.498892755457135
2014-04-01  42.327698309492850
2014-07-01  41.331617883563850
2014-10-01  41.557223264540340
2015-01-01  41.834521227145956
2015-04-01  40.935672514619880
2015-07-01  41.078066914498140
2015-10-01  41.095461658841940
2016-01-01  40.906230333543110
2016-04-01  40.693196405648266
2016-07-01  40.213971050975450
2016-10-01  40.462610899873255
2017-01-01  40.278216882706290
2017-04-01  39.968750000000000
2017-07-01  40.209790209790210
2017-10-01  40.052875082617320
2018-01-01  39.346965699208440
2018-04-01  38.901527461813460
2018-07-01  38.266796494644595
