Title:               Equifax Subprime Credit Population for Cabarrus County, NC
Series ID:           EQFXSUBPRIME037025
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.378133704735376
1999-04-01  37.423854506930340
1999-07-01  36.837486837486836
1999-10-01  37.514425210830005
2000-01-01  37.815717680190090
2000-04-01  37.124239791485664
2000-07-01  37.331492610037350
2000-10-01  35.370853522176674
2001-01-01  35.564151218800180
2001-04-01  35.204845030281440
2001-07-01  35.193710602733900
2001-10-01  35.862641927443924
2002-01-01  35.674790088060620
2002-04-01  35.347351610327390
2002-07-01  35.085899513776330
2002-10-01  33.907143305899350
2003-01-01  34.785668586052466
2003-04-01  34.623138453534500
2003-07-01  35.519377801212760
2003-10-01  36.089773562220294
2004-01-01  36.678035470668480
2004-04-01  35.701894849212700
2004-07-01  34.422396359959556
2004-10-01  34.321664382708360
2005-01-01  33.857248520710060
2005-04-01  33.414315081293220
2005-07-01  34.165621079046424
2005-10-01  35.138523254356270
2006-01-01  34.953761559610100
2006-04-01  34.633842318479275
2006-07-01  34.898096578737990
2006-10-01  34.444248515840826
2007-01-01  34.707478178815760
2007-04-01  33.346684213537790
2007-07-01  33.749716102657280
2007-10-01  33.863931140195730
2008-01-01  35.490579116516480
2008-04-01  35.490033751512450
2008-07-01  35.682957393483710
2008-10-01  35.740855548667080
2009-01-01  35.841235947999750
2009-04-01  35.526728081719625
2009-07-01  35.141715569983766
2009-10-01  35.872896728591980
2010-01-01  35.853064284375584
2010-04-01  35.332714329928820
2010-07-01  35.267034990791900
2010-10-01  35.698716396221850
2011-01-01  35.223284521360284
2011-04-01  35.198022786183614
2011-07-01  34.862935636734450
2011-10-01  34.885679903730440
2012-01-01  34.517797017797020
2012-04-01  34.342586486000360
2012-07-01  34.735719364778380
2012-10-01  35.159303565083500
2013-01-01  34.226900040704770
2013-04-01  33.476027397260275
2013-07-01  33.750066784206870
2013-10-01  33.893749341203760
2014-01-01  33.354124434741934
2014-04-01  32.886288318144160
2014-07-01  32.792838874680310
2014-10-01  33.461846585219305
2015-01-01  32.665539868761186
2015-04-01  32.589747377751515
2015-07-01  33.184444336553870
2015-10-01  33.080966388580800
2016-01-01  31.901455983029603
2016-04-01  31.633139479454670
2016-07-01  31.552502996220156
2016-10-01  31.404471452541830
2017-01-01  30.467187784039268
2017-04-01  30.497592295345104
2017-07-01  30.519682243820174
2017-10-01  30.961386225701470
2018-01-01  30.116895057134100
2018-04-01  29.846006612145466
2018-07-01  30.040409251139200
