Title:               Equifax Subprime Credit Population for Surry County, NC
Series ID:           EQFXSUBPRIME037171
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  34.716644355198575
1999-04-01  34.979985443959244
1999-07-01  34.358829617085334
1999-10-01  34.726239154283434
2000-01-01  35.502577319587630
2000-04-01  34.968923781485120
2000-07-01  34.738598442714130
2000-10-01  32.976769313884380
2001-01-01  33.986175115207374
2001-04-01  32.447795823665890
2001-07-01  32.130791505791510
2001-10-01  30.782588562167167
2002-01-01  32.418568863811230
2002-04-01  32.300311203319500
2002-07-01  32.578534031413610
2002-10-01  32.842686292548294
2003-01-01  33.117845117845120
2003-04-01  32.849389416553600
2003-07-01  33.475626549160010
2003-10-01  33.442444080741950
2004-01-01  33.568075117370896
2004-04-01  32.855962544753520
2004-07-01  31.739366025467350
2004-10-01  32.841932841932845
2005-01-01  32.255423659435124
2005-04-01  32.177342581259350
2005-07-01  32.224414998590355
2005-10-01  32.355857770222414
2006-01-01  32.467898969944970
2006-04-01  32.414661443760494
2006-07-01  33.010550657609485
2006-10-01  32.830695730068676
2007-01-01  33.387742988573970
2007-04-01  32.691746864975215
2007-07-01  32.738871973321730
2007-10-01  33.128926114268620
2008-01-01  33.947939262472886
2008-04-01  33.563796354494030
2008-07-01  33.426834969611970
2008-10-01  33.662126193831220
2009-01-01  33.616485763725030
2009-04-01  33.243798388370990
2009-07-01  33.559161808728530
2009-10-01  32.952199460060340
2010-01-01  32.327104296438270
2010-04-01  32.108626198083066
2010-07-01  32.453070314985680
2010-10-01  32.839116719242900
2011-01-01  32.070108953102796
2011-04-01  31.744277821625890
2011-07-01  31.778656126482215
2011-10-01  31.713554987212277
2012-01-01  31.345688960515712
2012-04-01  30.796460176991154
2012-07-01  30.725897312087557
2012-10-01  31.006029831799430
2013-01-01  29.330466830466830
2013-04-01  28.808148373365768
2013-07-01  29.133745151558680
2013-10-01  29.560738303047646
2014-01-01  29.466492222706787
2014-04-01  28.529819694868237
2014-07-01  28.477185266630016
2014-10-01  28.668478260869566
2015-01-01  28.295254833040424
2015-04-01  28.162068505930960
2015-07-01  28.341534778560977
2015-10-01  28.247914183551850
2016-01-01  27.753185781354794
2016-04-01  27.539533637094614
2016-07-01  26.929072486360095
2016-10-01  27.041449491188878
2017-01-01  26.551208572140546
2017-04-01  26.474247325205276
2017-07-01  26.744186046511626
2017-10-01  27.003637275805847
2018-01-01  26.454761606807658
2018-04-01  26.222723852520690
2018-07-01  26.316447779862410
