Title:               Average Weekly Wages for Employees in Total Covered Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   437
1990-04-01   434
1990-07-01   432
1990-10-01   470
1991-01-01   451
1991-04-01   480
1991-07-01   455
1991-10-01   491
1992-01-01   476
1992-04-01   472
1992-07-01   475
1992-10-01   536
1993-01-01   474
1993-04-01   484
1993-07-01   494
1993-10-01   545
1994-01-01   504
1994-04-01   496
1994-07-01   516
1994-10-01   548
1995-01-01   547
1995-04-01   529
1995-07-01   528
1995-10-01   573
1996-01-01   581
1996-04-01   550
1996-07-01   555
1996-10-01   602
1997-01-01   615
1997-04-01   572
1997-07-01   585
1997-10-01   654
1998-01-01   663
1998-04-01   611
1998-07-01   619
1998-10-01   690
1999-01-01   672
1999-04-01   645
1999-07-01   651
1999-10-01   718
2000-01-01   739
2000-04-01   677
2000-07-01   677
2000-10-01   738
2001-01-01   770
2001-04-01   706
2001-07-01   692
2001-10-01   743
2002-01-01   801
2002-04-01   728
2002-07-01   714
2002-10-01   760
2003-01-01   819
2003-04-01   730
2003-07-01   742
2003-10-01   796
2004-01-01   855
2004-04-01   755
2004-07-01   759
2004-10-01   853
2005-01-01   919
2005-04-01   791
2005-07-01   809
2005-10-01   845
2006-01-01   991
2006-04-01   824
2006-07-01   827
2006-10-01   879
2007-01-01  1038
2007-04-01   839
2007-07-01   833
2007-10-01   906
2008-01-01  1010
2008-04-01   852
2008-07-01   862
2008-10-01   917
2009-01-01   926
2009-04-01   844
2009-07-01   854
2009-10-01   937
2010-01-01   988
2010-04-01   880
2010-07-01   874
2010-10-01   971
2011-01-01  1053
2011-04-01   892
2011-07-01   935
2011-10-01   941
2012-01-01  1096
2012-04-01   900
2012-07-01   939
2012-10-01   987
2013-01-01  1075
2013-04-01   894
2013-07-01   914
2013-10-01   959
2014-01-01  1122
2014-04-01   912
2014-07-01   938
2014-10-01   989
2015-01-01  1145
2015-04-01   946
2015-07-01   972
2015-10-01  1053
2016-01-01  1129
2016-04-01   976
2016-07-01  1031
2016-10-01  1043
2017-01-01  1210
2017-04-01  1009
2017-07-01  1000
2017-10-01  1076
2018-01-01  1245
