Title:               Equifax Subprime Credit Population for New Hanover County, NC
Series ID:           EQFXSUBPRIME037129
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.377345378735235
1999-04-01  38.410272359710310
1999-07-01  37.482001439884810
1999-10-01  37.695022288261510
2000-01-01  38.152188798101060
2000-04-01  37.400542703398790
2000-07-01  38.042729152308750
2000-10-01  35.781922525107600
2001-01-01  36.168730015577600
2001-04-01  35.773112636253536
2001-07-01  36.093973442288046
2001-10-01  36.056178868350955
2002-01-01  35.968028419182940
2002-04-01  36.174410177953135
2002-07-01  35.532570255162184
2002-10-01  35.670182166826464
2003-01-01  35.952241143080840
2003-04-01  35.762590500437580
2003-07-01  36.714037005546786
2003-10-01  37.002911730684860
2004-01-01  37.557073013051030
2004-04-01  36.272268642598135
2004-07-01  35.955990026516800
2004-10-01  36.192883531013024
2005-01-01  35.995522272832545
2005-04-01  35.368976191386096
2005-07-01  35.359486873508350
2005-10-01  35.618320610687020
2006-01-01  34.970232452315045
2006-04-01  34.564198687910030
2006-07-01  34.425678200433450
2006-10-01  33.793717977277794
2007-01-01  33.069335973306934
2007-04-01  32.749027166599994
2007-07-01  32.716771457815470
2007-10-01  32.770569153641990
2008-01-01  35.496924571058600
2008-04-01  35.835600626597410
2008-07-01  35.273231849161330
2008-10-01  35.650196906337540
2009-01-01  35.772627389195236
2009-04-01  35.601067823475430
2009-07-01  35.198870713277420
2009-10-01  35.691372615228765
2010-01-01  35.465977897277384
2010-04-01  35.181902591373344
2010-07-01  34.883915849467770
2010-10-01  35.252309879175556
2011-01-01  34.537312183484700
2011-04-01  34.665443016852990
2011-07-01  34.914043684079395
2011-10-01  35.409414884800260
2012-01-01  35.004108463434676
2012-04-01  34.485438481675390
2012-07-01  34.570003649191094
2012-10-01  35.095711945010585
2013-01-01  33.549825141232084
2013-04-01  32.601528547879520
2013-07-01  32.599842823462170
2013-10-01  32.112323625495236
2014-01-01  31.530293137221210
2014-04-01  31.553448816702100
2014-07-01  31.273601098523855
2014-10-01  30.289237523403706
2015-01-01  29.684197040548334
2015-04-01  30.566374018087000
2015-07-01  30.674011880662395
2015-10-01  30.819812972937250
2016-01-01  29.931215198165738
2016-04-01  29.426213401454117
2016-07-01  27.324972312849834
2016-10-01  27.437802145973350
2017-01-01  27.014218009478675
2017-04-01  26.571201272871920
2017-07-01  26.736111111111110
2017-10-01  26.776661166941650
2018-01-01  26.102484942038195
2018-04-01  25.709322524609146
2018-07-01  25.867517471893040
