Title:               Equifax Subprime Credit Population for Wayne County, NC
Series ID:           EQFXSUBPRIME037191
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.230392156862740
1999-04-01  42.700880006579490
1999-07-01  42.156946460592610
1999-10-01  42.473258544221240
2000-01-01  42.915082382762990
2000-04-01  42.073375967687646
2000-07-01  42.356739305891850
2000-10-01  40.376809374282000
2001-01-01  41.140667267808840
2001-04-01  41.256379465625930
2001-07-01  40.674291694699860
2001-10-01  40.791568731518690
2002-01-01  41.336482779640356
2002-04-01  40.935092670276866
2002-07-01  40.790827576069380
2002-10-01  41.142604074402130
2003-01-01  41.246180219124990
2003-04-01  40.742701558009380
2003-07-01  41.589464818926570
2003-10-01  41.583257506824380
2004-01-01  42.368340477648495
2004-04-01  41.397972406433420
2004-07-01  41.257812500000000
2004-10-01  42.055576703464030
2005-01-01  41.479702858857960
2005-04-01  41.300886968387540
2005-07-01  41.227601982462830
2005-10-01  41.529131803178020
2006-01-01  41.482454784356160
2006-04-01  40.168054617750770
2006-07-01  40.737376031493675
2006-10-01  41.164437450826120
2007-01-01  40.787701085664470
2007-04-01  40.076187514576695
2007-07-01  40.249609984399380
2007-10-01  40.170253774494060
2008-01-01  41.744156823322440
2008-04-01  42.056154041903470
2008-07-01  41.744176124242685
2008-10-01  41.960585299839295
2009-01-01  41.564456642936790
2009-04-01  41.365777080062790
2009-07-01  41.370953782239916
2009-10-01  41.103171836876960
2010-01-01  40.851138661742720
2010-04-01  40.114185331576635
2010-07-01  40.344467640918580
2010-10-01  41.064935064935064
2011-01-01  40.658961531826810
2011-04-01  40.281982527463020
2011-07-01  40.589254766031196
2011-10-01  40.246335328302540
2012-01-01  39.814413320613994
2012-04-01  39.530622927935790
2012-07-01  39.045628700801120
2012-10-01  39.989567938798570
2013-01-01  39.090600610790630
2013-04-01  38.042213727771310
2013-07-01  37.709583141055220
2013-10-01  37.563373790136740
2014-01-01  36.950844854070660
2014-04-01  36.619929519382170
2014-07-01  36.487594068996350
2014-10-01  36.825863335782510
2015-01-01  35.683337005214070
2015-04-01  35.840870652253840
2015-07-01  36.745153383346950
2015-10-01  36.811254396248536
2016-01-01  36.298253339204464
2016-04-01  35.573443615685700
2016-07-01  34.665173885662306
2016-10-01  34.718368479467260
2017-01-01  34.502113505647564
2017-04-01  33.317076569358320
2017-07-01  33.930571108622620
2017-10-01  34.016913319238900
2018-01-01  33.566532400537060
2018-04-01  33.772919605077576
2018-07-01  34.223624255170000
