Title:               Average Weekly Wages for Employees in Total Covered Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   272
1990-04-01   280
1990-07-01   275
1990-10-01   299
1991-01-01   279
1991-04-01   290
1991-07-01   283
1991-10-01   296
1992-01-01   294
1992-04-01   297
1992-07-01   303
1992-10-01   315
1993-01-01   289
1993-04-01   304
1993-07-01   307
1993-10-01   324
1994-01-01   304
1994-04-01   310
1994-07-01   317
1994-10-01   324
1995-01-01   317
1995-04-01   323
1995-07-01   321
1995-10-01   343
1996-01-01   326
1996-04-01   331
1996-07-01   333
1996-10-01   359
1997-01-01   347
1997-04-01   363
1997-07-01   360
1997-10-01   390
1998-01-01   361
1998-04-01   379
1998-07-01   378
1998-10-01   410
1999-01-01   373
1999-04-01   383
1999-07-01   393
1999-10-01   410
2000-01-01   407
2000-04-01   396
2000-07-01   408
2000-10-01   414
2001-01-01   408
2001-04-01   404
2001-07-01   407
2001-10-01   426
2002-01-01   414
2002-04-01   425
2002-07-01   437
2002-10-01   438
2003-01-01   441
2003-04-01   436
2003-07-01   445
2003-10-01   462
2004-01-01   452
2004-04-01   444
2004-07-01   462
2004-10-01   484
2005-01-01   445
2005-04-01   478
2005-07-01   491
2005-10-01   494
2006-01-01   482
2006-04-01   497
2006-07-01   490
2006-10-01   518
2007-01-01   503
2007-04-01   514
2007-07-01   516
2007-10-01   543
2008-01-01   517
2008-04-01   533
2008-07-01   528
2008-10-01   567
2009-01-01   533
2009-04-01   555
2009-07-01   534
2009-10-01   608
2010-01-01   545
2010-04-01   576
2010-07-01   568
2010-10-01   628
2011-01-01   565
2011-04-01   601
2011-07-01   612
2011-10-01   602
2012-01-01   608
2012-04-01   582
2012-07-01   598
2012-10-01   608
2013-01-01   613
2013-04-01   593
2013-07-01   611
2013-10-01   616
2014-01-01   613
2014-04-01   595
2014-07-01   614
2014-10-01   630
2015-01-01   614
2015-04-01   597
2015-07-01   628
2015-10-01   663
2016-01-01   600
2016-04-01   611
2016-07-01   660
2016-10-01   681
2017-01-01   639
2017-04-01   643
2017-07-01   637
2017-10-01   687
2018-01-01   651
