Title:               Number of Private Establishments for All Industries in Surry County, NC
Series ID:           ENU3717120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1302
1990-04-01  1335
1990-07-01  1341
1990-10-01  1348
1991-01-01  1376
1991-04-01  1401
1991-07-01  1399
1991-10-01  1395
1992-01-01  1374
1992-04-01  1385
1992-07-01  1399
1992-10-01  1412
1993-01-01  1422
1993-04-01  1436
1993-07-01  1457
1993-10-01  1464
1994-01-01  1465
1994-04-01  1481
1994-07-01  1490
1994-10-01  1498
1995-01-01  1487
1995-04-01  1511
1995-07-01  1530
1995-10-01  1555
1996-01-01  1546
1996-04-01  1567
1996-07-01  1579
1996-10-01  1590
1997-01-01  1602
1997-04-01  1610
1997-07-01  1629
1997-10-01  1637
1998-01-01  1647
1998-04-01  1654
1998-07-01  1667
1998-10-01  1677
1999-01-01  1665
1999-04-01  1700
1999-07-01  1739
1999-10-01  1755
2000-01-01  1767
2000-04-01  1787
2000-07-01  1765
2000-10-01  1771
2001-01-01  1771
2001-04-01  1785
2001-07-01  1778
2001-10-01  1794
2002-01-01  1797
2002-04-01  1813
2002-07-01  1812
2002-10-01  1813
2003-01-01  1746
2003-04-01  1746
2003-07-01  1762
2003-10-01  1766
2004-01-01  1751
2004-04-01  1772
2004-07-01  1744
2004-10-01  1756
2005-01-01  1760
2005-04-01  1760
2005-07-01  1761
2005-10-01  1776
2006-01-01  1764
2006-04-01  1755
2006-07-01  1767
2006-10-01  1762
2007-01-01  1774
2007-04-01  1777
2007-07-01  1791
2007-10-01  1791
2008-01-01  1777
2008-04-01  1763
2008-07-01  1757
2008-10-01  1747
2009-01-01  1718
2009-04-01  1711
2009-07-01  1709
2009-10-01  1708
2010-01-01  1679
2010-04-01  1687
2010-07-01  1698
2010-10-01  1709
2011-01-01  1690
2011-04-01  1702
2011-07-01  1702
2011-10-01  1704
2012-01-01  1701
2012-04-01  1720
2012-07-01  1714
2012-10-01  1717
2013-01-01  1685
2013-04-01  1680
2013-07-01  1687
2013-10-01  1708
2014-01-01  1690
2014-04-01  1702
2014-07-01  1696
2014-10-01  1698
2015-01-01  1714
2015-04-01  1717
2015-07-01  1708
2015-10-01  1727
2016-01-01  1696
2016-04-01  1714
2016-07-01  1688
2016-10-01  1701
2017-01-01  1692
2017-04-01  1686
2017-07-01  1692
2017-10-01  1699
2018-01-01  1706
