Title:               Equifax Subprime Credit Population for Martin County, NC
Series ID:           EQFXSUBPRIME037117
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.497316636851520
1999-04-01  40.058266569555720
1999-07-01  39.626033800791085
1999-10-01  40.448625180897250
2000-01-01  40.857869865503450
2000-04-01  40.481400437636760
2000-07-01  41.539022611232680
2000-10-01  39.489542715349170
2001-01-01  40.673668960521550
2001-04-01  41.936658172551880
2001-07-01  41.400806747341400
2001-10-01  40.939597315436245
2002-01-01  41.769474797321120
2002-04-01  41.117835528657885
2002-07-01  41.242149337055130
2002-10-01  40.684410646387830
2003-01-01  41.311244272118440
2003-04-01  41.345132743362830
2003-07-01  40.816326530612244
2003-10-01  40.327070285316630
2004-01-01  42.021838675590000
2004-04-01  40.101010101010100
2004-07-01  40.290758047767400
2004-10-01  40.062004822597316
2005-01-01  40.197749744289126
2005-04-01  40.677966101694920
2005-07-01  40.462633451957295
2005-10-01  40.735502121640735
2006-01-01  40.105263157894740
2006-04-01  39.631988676574665
2006-07-01  38.819320214669050
2006-10-01  39.702683103698334
2007-01-01  39.244186046511620
2007-04-01  38.694554633970430
2007-07-01  38.436363636363640
2007-10-01  39.288446824789595
2008-01-01  42.634680134680140
2008-04-01  42.561284868977175
2008-07-01  42.489270386266090
2008-10-01  41.938250428816470
2009-01-01  41.552712836347595
2009-04-01  41.485104490884840
2009-07-01  41.176470588235290
2009-10-01  42.299057027391110
2010-01-01  41.625056740807985
2010-04-01  41.361974405850090
2010-07-01  40.950639853747720
2010-10-01  41.984382177308220
2011-01-01  40.626439428834640
2011-04-01  40.600819299044150
2011-07-01  40.064249655805420
2011-10-01  39.674418604651166
2012-01-01  39.578454332552695
2012-04-01  39.952606635071090
2012-07-01  40.057088487155090
2012-10-01  40.141843971631210
2013-01-01  40.091533180778036
2013-04-01  38.775510204081634
2013-07-01  38.975220495590094
2013-10-01  39.307100085543200
2014-01-01  38.599487617421005
2014-04-01  38.082191780821915
2014-07-01  38.153241650294696
2014-10-01  38.221528861154450
2015-01-01  37.928348909657320
2015-04-01  35.663014733660745
2015-07-01  35.621036926519956
2015-10-01  36.387049300956580
2016-01-01  36.269044964697140
2016-04-01  35.803402646502830
2016-07-01  36.209439528023600
2016-10-01  36.407229804500180
2017-01-01  35.692995529061100
2017-04-01  34.970238095238095
2017-07-01  35.842696629213485
2017-10-01  37.007003317360855
2018-01-01  35.637707948243990
2018-04-01  35.194902548725636
2018-07-01  34.933035714285715
