Title:               Equifax Subprime Credit Population for Macon County, NC
Series ID:           EQFXSUBPRIME037113
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  28.990099009900987
1999-04-01  29.738933030646990
1999-07-01  29.186780542146305
1999-10-01  28.800896525961900
2000-01-01  29.038317054845980
2000-04-01  28.863719400803800
2000-07-01  28.264634568756500
2000-10-01  26.253132832080200
2001-01-01  27.798982188295163
2001-04-01  28.225054398507925
2001-07-01  27.946824224519940
2001-10-01  28.463986115128726
2002-01-01  29.045521292217330
2002-04-01  29.303278688524593
2002-07-01  29.541595925297116
2002-10-01  28.884986830553117
2003-01-01  28.524590163934427
2003-04-01  28.652019002375294
2003-07-01  28.472622478386167
2003-10-01  28.567343437231912
2004-01-01  29.016718617172003
2004-04-01  28.754171301446053
2004-07-01  28.879551820728288
2004-10-01  28.829847371396266
2005-01-01  28.322562517561110
2005-04-01  27.693995064436520
2005-07-01  27.290181020296217
2005-10-01  28.275109170305680
2006-01-01  27.984395318595578
2006-04-01  27.786417833074132
2006-07-01  27.888343241147584
2006-10-01  28.462377317339150
2007-01-01  29.042166992460206
2007-04-01  27.864369701941484
2007-07-01  28.049792531120330
2007-10-01  28.410404624277458
2008-01-01  29.507211538461537
2008-04-01  28.745432399512787
2008-07-01  27.873734365693863
2008-10-01  28.281297362837222
2009-01-01  28.454545454545453
2009-04-01  27.982062780269057
2009-07-01  27.776150014649870
2009-10-01  28.412419449326304
2010-01-01  28.554744525547440
2010-04-01  26.946811636791068
2010-07-01  26.866105140865525
2010-10-01  27.628865979381445
2011-01-01  27.104477611940297
2011-04-01  26.175687666370894
2011-07-01  26.019360516280432
2011-10-01  26.772580170638420
2012-01-01  26.389719067543340
2012-04-01  25.322391559202810
2012-07-01  25.463099088503384
2012-10-01  26.124008228034090
2013-01-01  25.171624713958813
2013-04-01  25.764067409311625
2013-07-01  26.193118756936740
2013-10-01  26.449475427940367
2014-01-01  25.725338491295940
2014-04-01  25.464834276475344
2014-07-01  25.280298985584626
2014-10-01  26.078849227490675
2015-01-01  25.013304949441190
2015-04-01  25.457924077515266
2015-07-01  25.190638969234810
2015-10-01  26.493028150486715
2016-01-01  25.179092597505970
2016-04-01  25.182580470651878
2016-07-01  25.201560468140443
2016-10-01  24.877165761572280
2017-01-01  24.508790072388830
2017-04-01  24.295233213736545
2017-07-01  24.313827032625582
2017-10-01  24.380165289256198
2018-01-01  24.457083764219234
2018-04-01  24.182004089979550
2018-07-01  24.338624338624340
