Title:               Average Weekly Wages for Employees in Total Covered Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   404
1990-04-01   402
1990-07-01   422
1990-10-01   440
1991-01-01   423
1991-04-01   429
1991-07-01   445
1991-10-01   455
1992-01-01   439
1992-04-01   436
1992-07-01   464
1992-10-01   491
1993-01-01   438
1993-04-01   447
1993-07-01   475
1993-10-01   508
1994-01-01   460
1994-04-01   463
1994-07-01   486
1994-10-01   504
1995-01-01   486
1995-04-01   484
1995-07-01   500
1995-10-01   524
1996-01-01   504
1996-04-01   506
1996-07-01   512
1996-10-01   555
1997-01-01   538
1997-04-01   527
1997-07-01   536
1997-10-01   594
1998-01-01   557
1998-04-01   561
1998-07-01   572
1998-10-01   635
1999-01-01   597
1999-04-01   594
1999-07-01   612
1999-10-01   669
2000-01-01   645
2000-04-01   641
2000-07-01   651
2000-10-01   705
2001-01-01   695
2001-04-01   673
2001-07-01   674
2001-10-01   723
2002-01-01   706
2002-04-01   692
2002-07-01   687
2002-10-01   729
2003-01-01   719
2003-04-01   696
2003-07-01   693
2003-10-01   761
2004-01-01   736
2004-04-01   715
2004-07-01   713
2004-10-01   793
2005-01-01   739
2005-04-01   734
2005-07-01   756
2005-10-01   805
2006-01-01   807
2006-04-01   757
2006-07-01   760
2006-10-01   845
2007-01-01   840
2007-04-01   792
2007-07-01   790
2007-10-01   869
2008-01-01   855
2008-04-01   819
2008-07-01   812
2008-10-01   891
2009-01-01   856
2009-04-01   812
2009-07-01   813
2009-10-01   905
2010-01-01   871
2010-04-01   847
2010-07-01   838
2010-10-01   931
2011-01-01   886
2011-04-01   867
2011-07-01   868
2011-10-01   914
2012-01-01   926
2012-04-01   861
2012-07-01   871
2012-10-01   937
2013-01-01   955
2013-04-01   902
2013-07-01   906
2013-10-01   957
2014-01-01   980
2014-04-01   906
2014-07-01   924
2014-10-01   980
2015-01-01  1005
2015-04-01   937
2015-07-01   954
2015-10-01  1040
2016-01-01  1018
2016-04-01   962
2016-07-01  1016
2016-10-01  1056
2017-01-01  1072
2017-04-01  1013
2017-07-01  1011
2017-10-01  1087
2018-01-01  1116
