Title:               Average Weekly Wages for Employees in Private Establishments in Charlotte-Gastonia-Rock Hill, NC-SC (MSA)
Series ID:           ENUC167440510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   438
1990-04-01   434
1990-07-01   430
1990-10-01   473
1991-01-01   450
1991-04-01   482
1991-07-01   455
1991-10-01   494
1992-01-01   479
1992-04-01   473
1992-07-01   473
1992-10-01   542
1993-01-01   474
1993-04-01   484
1993-07-01   493
1993-10-01   549
1994-01-01   507
1994-04-01   497
1994-07-01   513
1994-10-01   551
1995-01-01   551
1995-04-01   529
1995-07-01   528
1995-10-01   578
1996-01-01   588
1996-04-01   552
1996-07-01   556
1996-10-01   610
1997-01-01   625
1997-04-01   574
1997-07-01   587
1997-10-01   650
1998-01-01   677
1998-04-01   617
1998-07-01   624
1998-10-01   700
1999-01-01   687
1999-04-01   651
1999-07-01   653
1999-10-01   728
2000-01-01   752
2000-04-01   685
2000-07-01   679
2000-10-01   751
2001-01-01   784
2001-04-01   713
2001-07-01   695
2001-10-01   754
2002-01-01   819
2002-04-01   735
2002-07-01   715
2002-10-01   768
2003-01-01   835
2003-04-01   733
2003-07-01   747
2003-10-01   807
2004-01-01   876
2004-04-01   760
2004-07-01   764
2004-10-01   868
2005-01-01   949
2005-04-01   797
2005-07-01   808
2005-10-01   858
2006-01-01  1021
2006-04-01   833
2006-07-01   827
2006-10-01   891
2007-01-01  1069
2007-04-01   845
2007-07-01   833
2007-10-01   915
2008-01-01  1033
2008-04-01   858
2008-07-01   860
2008-10-01   925
2009-01-01   935
2009-04-01   846
2009-07-01   852
2009-10-01   944
2010-01-01  1014
2010-04-01   887
2010-07-01   874
2010-10-01   983
2011-01-01  1084
2011-04-01   896
2011-07-01   928
2011-10-01   956
2012-01-01  1118
2012-04-01   906
2012-07-01   939
2012-10-01  1004
2013-01-01  1099
2013-04-01   900
2013-07-01   908
2013-10-01   974
2014-01-01  1149
2014-04-01   920
2014-07-01   932
2014-10-01  1003
2015-01-01  1169
2015-04-01   955
2015-07-01   967
2015-10-01  1060
2016-01-01  1152
2016-04-01   984
2016-07-01  1026
2016-10-01  1052
2017-01-01  1233
2017-04-01  1012
2017-07-01   999
2017-10-01  1086
2018-01-01  1271
