Title:               Equifax Subprime Credit Population for Alexander County, NC
Series ID:           EQFXSUBPRIME037003
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.690235690235690
1999-04-01  35.276967930029160
1999-07-01  34.201052340072000
1999-10-01  34.199257779046530
2000-01-01  34.876905041031655
2000-04-01  33.886747702342130
2000-07-01  34.533648170011800
2000-10-01  33.342881695789174
2001-01-01  33.391003460207614
2001-04-01  33.101142379492890
2001-07-01  32.799115777839184
2001-10-01  33.623840314872080
2002-01-01  35.959715639810426
2002-04-01  35.554227666567070
2002-07-01  36.017316017316020
2002-10-01  36.167104878761320
2003-01-01  36.062206572769950
2003-04-01  35.924058142984280
2003-07-01  37.285121517486665
2003-10-01  36.096256684491976
2004-01-01  36.951292844257370
2004-04-01  37.262012692656390
2004-07-01  37.450199203187250
2004-10-01  38.021308980213090
2005-01-01  37.242424242424240
2005-04-01  37.215734480639210
2005-07-01  36.408822615719170
2005-10-01  37.083993660855780
2006-01-01  37.256135934550030
2006-04-01  35.966542750929370
2006-07-01  35.342717258261935
2006-10-01  35.284957957022730
2007-01-01  34.592569466125504
2007-04-01  34.369173399627094
2007-07-01  34.872907625542470
2007-10-01  36.179921773142110
2008-01-01  36.110154905335630
2008-04-01  37.111264685556320
2008-07-01  36.291980808773130
2008-10-01  36.035422343324250
2009-01-01  35.565579458709230
2009-04-01  35.853658536585364
2009-07-01  36.310546204053590
2009-10-01  37.148662377243480
2010-01-01  36.577868852459020
2010-04-01  36.221542643560994
2010-07-01  35.817875210792580
2010-10-01  35.697478991596640
2011-01-01  34.202505926176770
2011-04-01  34.736842105263160
2011-07-01  34.920137801440650
2011-10-01  34.565560821484990
2012-01-01  34.597005415737500
2012-04-01  34.096692111959285
2012-07-01  33.556832694763730
2012-10-01  34.467548834278510
2013-01-01  34.760012228676246
2013-04-01  34.842995169082120
2013-07-01  35.164212910532280
2013-10-01  35.330695308083660
2014-01-01  35.001413627367825
2014-04-01  34.251633058790110
2014-07-01  32.987377279102390
2014-10-01  32.701949860724234
2015-01-01  32.220367278797994
2015-04-01  30.002790957298350
2015-07-01  30.622546270330904
2015-10-01  30.996104618809127
2016-01-01  30.826039387308533
2016-04-01  31.025006870019233
2016-07-01  29.951560818083962
2016-10-01  30.393996247654787
2017-01-01  29.747175901022054
2017-04-01  29.347826086956523
2017-07-01  29.128259151962077
2017-10-01  30.190677966101692
2018-01-01  29.277364505844844
2018-04-01  28.507146638433035
2018-07-01  28.485952133194587
