Title:               Equifax Subprime Credit Population for Ashe County, NC
Series ID:           EQFXSUBPRIME037009
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.118096093399190
1999-04-01  31.305155596841615
1999-07-01  31.138287864534338
1999-10-01  31.018301267010795
2000-01-01  32.020389249304910
2000-04-01  32.639852057327786
2000-07-01  33.226250573657640
2000-10-01  31.775300171526588
2001-01-01  32.324506094997890
2001-04-01  31.791421362489487
2001-07-01  32.145886344359624
2001-10-01  32.112436115843270
2002-01-01  32.081768877763870
2002-04-01  30.876158382476830
2002-07-01  30.690537084398980
2002-10-01  31.223449447748514
2003-01-01  31.592356687898090
2003-04-01  31.467345207803220
2003-07-01  31.884057971014490
2003-10-01  31.858783496384520
2004-01-01  31.732418524871353
2004-04-01  31.491712707182316
2004-07-01  31.080517313308302
2004-10-01  30.680885972108285
2005-01-01  30.507099391480730
2005-04-01  30.516050386021940
2005-07-01  30.110610405571485
2005-10-01  30.040160642570278
2006-01-01  30.930326218284332
2006-04-01  29.930866205774702
2006-07-01  30.673616680032080
2006-10-01  29.765335529024288
2007-01-01  29.687500000000000
2007-04-01  29.059485530546624
2007-07-01  29.428341384863120
2007-10-01  29.851345922057050
2008-01-01  29.109730848861282
2008-04-01  29.147797447509262
2008-07-01  29.550922213311950
2008-10-01  29.383116883116884
2009-01-01  29.006085192697768
2009-04-01  29.252259654889073
2009-07-01  29.873314262362076
2009-10-01  30.098280098280100
2010-01-01  30.916496945010184
2010-04-01  30.330207908683242
2010-07-01  29.959016393442620
2010-10-01  30.417007358953390
2011-01-01  29.910714285714285
2011-04-01  29.891085114965710
2011-07-01  29.767251939567167
2011-10-01  30.381803411860275
2012-01-01  29.947175944737914
2012-04-01  29.810407422347723
2012-07-01  30.024115755627010
2012-10-01  30.114099429502854
2013-01-01  29.235082098518223
2013-04-01  28.496784565916400
2013-07-01  28.438228438228435
2013-10-01  28.454651615414555
2014-01-01  28.675623800383875
2014-04-01  28.058103975535170
2014-07-01  26.902382782475020
2014-10-01  26.514285714285712
2015-01-01  26.231386025200460
2015-04-01  26.141078838174277
2015-07-01  26.239511823035848
2015-10-01  26.111963190184050
2016-01-01  25.509028044563962
2016-04-01  26.378254211332315
2016-07-01  24.524714828897338
2016-10-01  24.360902255639097
2017-01-01  23.453510436432637
2017-04-01  23.684210526315788
2017-07-01  23.818454613653415
2017-10-01  24.571215510812827
2018-01-01  23.636363636363637
2018-04-01  23.525100769512640
2018-07-01  23.529411764705880
